フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
75,"Unknown",11508,0,1,0,0,0,0,0,0,1
68,"Unknown",11465,5,1,0,0,0,0,0,4,106
67,"Unknown",11266,1,1,0,0,0,0,0,1,94
66,"Unknown",11071,8,2,0,1,0,0,0,6,111
65,"Unknown",10872,5,0,0,0,0,0,0,3,94
64,"Unknown",10707,7,0,0,0,0,0,0,1,92
63,"Unknown",10532,0,0,0,0,0,0,0,2,81
62,"Unknown",10365,4,2,0,0,0,0,0,2,98
61,"Unknown",10188,5,0,0,0,0,0,0,3,83
60,"Unknown",9997,2,0,0,0,0,0,0,4,94
59,"Unknown",9805,5,3,0,0,0,1,0,4,85
58,"Unknown",9599,5,2,0,0,0,0,0,1,95
57,"Unknown",9403,9,2,0,0,0,0,0,1,93
56,"Unknown",9215,0,0,0,0,0,0,0,1,104
55,"Unknown",9018,4,1,0,0,0,0,0,4,102
54,"Unknown",8838,5,0,0,0,0,0,0,2,99
53,"Unknown",8647,5,0,0,0,0,0,0,3,92
52,"Unknown",8452,6,1,0,0,0,0,0,1,100
51,"Unknown",8256,4,1,0,0,0,0,0,7,88
50,"Unknown",8060,8,0,0,0,0,0,0,0,90
49,"Unknown",7855,1,1,0,0,0,0,0,3,118
48,"Unknown",7644,0,0,0,0,0,0,0,2,80
47,"Unknown",7433,2,0,0,0,0,0,0,0,89
46,"Unknown",7264,8,3,0,0,0,0,0,1,73
45,"Unknown",7058,3,1,0,0,0,0,0,5,89
44,"Unknown",6878,2,0,0,0,0,0,0,4,81
43,"Unknown",6670,7,1,0,0,0,0,0,3,83
42,"Unknown",6477,6,1,0,0,0,0,0,4,84
41,"Unknown",6275,3,1,0,0,0,0,0,5,81
40,"Unknown",6083,8,3,0,0,0,0,0,5,97
39,"Unknown",5893,0,0,0,0,0,0,0,3,84
38,"Unknown",5683,5,0,0,0,0,0,0,1,90
37,"Unknown",5490,10,1,0,0,0,0,0,2,83
36,"Unknown",5296,3,0,0,0,0,0,0,3,80
35,"Unknown",5096,0,0,0,0,0,0,0,5,98
34,"Unknown",4892,4,0,0,0,0,0,0,4,88
33,"Unknown",4692,0,0,0,0,0,0,0,3,97
32,"Unknown",4487,3,1,0,0,0,0,0,3,77
31,"Unknown",4297,0,0,0,0,0,0,0,3,91
30,"Unknown",4112,0,0,0,0,0,0,0,4,74
29,"Unknown",3921,6,2,0,1,0,0,0,0,91
28,"Unknown",3723,1,0,0,0,0,0,0,4,116
27,"Unknown",3536,2,0,0,0,0,1,0,2,103
26,"Unknown",3355,5,0,0,0,0,0,0,5,93
25,"Unknown",3159,0,2,0,0,0,0,0,0,17
24,"Unknown",2926,2,0,0,1,0,0,0,3,99
23,"Unknown",2756,0,0,0,0,0,0,0,3,84
22,"Unknown",2569,10,0,0,0,0,0,0,3,76
21,"Unknown",2385,5,1,0,1,0,0,0,4,74
20,"Unknown",2198,6,1,0,0,0,0,0,3,85
19,"Unknown",2018,10,3,0,7,0,0,0,0,46
18,"Unknown",1878,0,1,0,0,0,0,0,0,1
17,"Unknown",1845,0,0,0,0,0,0,0,0,75
16,"Unknown",1657,0,0,0,0,0,0,0,0,21
15,"Unknown",1594,0,0,0,0,0,0,0,0,5
14,"Unknown",1558,0,1,0,0,0,0,0,1,92
13,"Unknown",1452,0,0,0,0,0,0,0,0,3
12,"Unknown",1446,0,0,0,0,0,0,0,0,29
11,"Unknown",1345,0,0,0,0,0,0,0,0,43
10,"Unknown",1206,0,0,0,0,0,0,0,0,11
9,"Unknown",1194,0,0,0,0,0,0,0,0,26
8,"Unknown",1052,9,4,0,0,0,0,0,5,122
7,"BAAAAA+Meiryo",837,0,0,0,0,0,0,0,0,130
6,"Unknown",833,0,0,0,0,0,0,0,0,3
5,"Unknown",713,0,0,0,0,0,0,0,0,27
4,"Unknown",560,0,0,0,0,0,0,0,0,29
