
================================================================================
🔍 各フォント内部 CMap 汚染明細（逆引き検証）
================================================================================
✨ 清潔フォント [ID: 5] (名前: BAAAAA+Meiryo) ── 汚染なし
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🚨 汚染検出 フォント [ID: 4] (名前: AAAAAA+SourceHanSerif-Medium) [ToUnicode ID: 270]
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  [▼ 🟡 CJK部首補助へのマッピング (U+2E80～)]
     CID: <0A58> -> Uni: <2EB3> (⺳) 💡 (相当する統合漢字: 㓁 <34C1>)
     CID: <2559> -> Uni: <2EA6> (⺦) 💡 (相当する統合漢字: 丬 <4E2C>)
     CID: <259B> -> Uni: <2E83> (⺃) 💡 (相当する統合漢字: 乚 <4E5A>)
     CID: <25CD> -> Uni: <2EF2> (⻲) 💡 (相当する統合漢字: 亀 <4E80>)
     CID: <262E> -> Uni: <2E85> (⺅) 💡 (相当する統合漢字: 亻 <4EBB>)
     CID: <2A61> -> Uni: <2E8E> (⺎) 💡 (相当する統合漢字: 兀 <5140>)
     CID: <2B8D> -> Uni: <2E89> (⺉) 💡 (相当する統合漢字: 刂 <5202>)
     CID: <3E4C> -> Uni: <2E90> (⺐) 💡 (相当する統合漢字: 尢 <5C22>)
     CID: <3E4E> -> Uni: <2E8F> (⺏) 💡 (相当する統合漢字: 尣 <5C23>)
     CID: <4243> -> Uni: <2E92> (⺒) 💡 (相当する統合漢字: 巳 <5DF3>)
     CID: <431A> -> Uni: <2E93> (⺓) 💡 (相当する統合漢字: 幺 <5E7A>)
     CID: <44D8> -> Uni: <2E94> (⺔) 💡 (相当する統合漢字: 彑 <5F51>)
     CID: <45A7> -> Uni: <2E96> (⺖) 💡 (相当する統合漢字: 忄 <5FC4>)
     CID: <4A59> -> Uni: <2E98> (⺘) 💡 (相当する統合漢字: 扌 <624C>)
     CID: <4F83> -> Uni: <2E99> (⺙) 💡 (相当する統合漢字: 攵 <6535>)
     CID: <5004> -> Uni: <2EEB> (⻫) 💡 (相当する統合漢字: 斉 <6589>)
     CID: <50B2> -> Uni: <2E9B> (⺛) 💡 (相当する統合漢字: 旡 <65E1>)
     CID: <5A71> -> Uni: <2EED> (⻭) 💡 (相当する統合漢字: 歯 <6B6F>)
     CID: <5A82> -> Uni: <2E9E> (⺞) 💡 (相当する統合漢字: 歺 <6B7A>)
     CID: <5B0E> -> Uni: <2E9F> (⺟) 💡 (相当する統合漢字: 母 <6BCD>)
     CID: <5B90> -> Uni: <2EA0> (⺠) 💡 (相当する統合漢字: 民 <6C11>)
     CID: <5BCB> -> Uni: <2EA1> (⺡) 💡 (相当する統合漢字: 氵 <6C35>)
     CID: <632B> -> Uni: <2EA3> (⺣) 💡 (相当する統合漢字: 灬 <706C>)
     CID: <66BA> -> Uni: <2EA4> (⺤)
     CID: <67A5> -> Uni: <2EA8> (⺨) 💡 (相当する統合漢字: 犭 <72AD>)
     CID: <7351> -> Uni: <2EAD> (⺭) 💡 (相当する統合漢字: 礻 <793B>)
     CID: <76B2> -> Uni: <2EEF> (⻯) 💡 (相当する統合漢字: 竜 <7ADC>)
     CID: <7FB2> -> Uni: <2EAB> (⺫) 💡 (相当する統合漢字: 目 <76EE>)
     CID: <811C> -> Uni: <2EB9> (⺹) 💡 (相当する統合漢字: 耂 <8002>)
     CID: <8668> -> Uni: <2EBE> (⺾)
     CID: <92A2> -> Uni: <2EC2> (⻂) 💡 (相当する統合漢字: 衤 <8864>)
     CID: <951E> -> Uni: <2EC4> (⻄) 💡 (相当する統合漢字: 西 <897F>)
     CID: <9520> -> Uni: <2EC3> (⻃) 💡 (相当する統合漢字: 覀 <8980>)
     CID: <A041> -> Uni: <2ECD> (⻍)
     CID: <AA7D> -> Uni: <2ED1> (⻑) 💡 (相当する統合漢字: 長 <9577>)
     CID: <AA7F> -> Uni: <2ED2> (⻒) 💡 (相当する統合漢字: 镸 <9578>)
     CID: <AB74> -> Uni: <2ED6> (⻖) 💡 (相当する統合漢字: 阝 <961D>)
     CID: <ADF1> -> Uni: <2ED8> (⻘) 💡 (相当する統合漢字: 青 <9752>)
     CID: <B09E> -> Uni: <2EDF> (⻟) 💡 (相当する統合漢字: 飠 <98E0>)
     CID: <BAD7> -> Uni: <2EE8> (⻨) 💡 (相当する統合漢字: 麦 <9EA6>)
     CID: <BB1B> -> Uni: <2EE9> (⻩) 💡 (相当する統合漢字: 黄 <9EC4>)
     CID: <E9CE> -> Uni: <2EC0> (⻀)
     CID: <E9CF> -> Uni: <2EBF> (⺿)
     CID: <E9D7> -> Uni: <2ECC> (⻌)
     CID: <EC1F> -> Uni: <2E87> (⺇) 💡 (相当する統合漢字: 𠘨 <20628>)
     CID: <ED01> -> Uni: <2EBD> (⺽) 💡 (相当する統合漢字: 𦥑 <26951>)
     CID: <ED32> -> Uni: <2ECA> (⻊) 💡 (相当する統合漢字: 𧾷 <27FB7>)
     CID: <ED6D> -> Uni: <2EDE> (⻞) 💡 (相当する統合漢字: 𩙿 <2967F>)
     CID: <2E83> -> Uni: <2E85> (⺅) 💡 (相当する統合漢字: 亻 <4EBB>)
     CID: <2E89> -> Uni: <2E8B> (⺋) 💡 (相当する統合漢字: 㔾 <353E>)
     CID: <2E97> -> Uni: <2E98> (⺘) 💡 (相当する統合漢字: 扌 <624C>)
     CID: <2E9C> -> Uni: <2E9D> (⺝) 💡 (相当する統合漢字: 月 <6708>)
     CID: <2EA0> -> Uni: <2EA3> (⺣) 💡 (相当する統合漢字: 灬 <706C>)
     CID: <2EA5> -> Uni: <2EA6> (⺦) 💡 (相当する統合漢字: 丬 <4E2C>)
     CID: <2EA9> -> Uni: <2EAB> (⺫) 💡 (相当する統合漢字: 目 <76EE>)
     CID: <2EAD> -> Uni: <2EB1> (⺱) 💡 (相当する統合漢字: 罓 <7F53>)
     CID: <2EB3> -> Uni: <2EB4> (⺴) 💡 (相当する統合漢字: 冗 <5197>)
     CID: <2EC3> -> Uni: <2EC4> (⻄) 💡 (相当する統合漢字: 西 <897F>)
     CID: <2EC9> -> Uni: <2ECB> (⻋) 💡 (相当する統合漢字: 车 <8F66>)
