
================================================================================
🔍 各フォント内部 CMap 汚染明細（逆引き検証）
================================================================================
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🚨 汚染検出 フォント [ID: 4] (名前: AAAAAA+YuMincho-Regular) [ToUnicode ID: 272]
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  [▼ 🔴 康煕部首へのマッピング (U+2F00～)]
     CID: <04A7> -> Uni: <2F90> (⾐) 💡 (相当する統合漢字: 衣 <8863>)
     CID: <04B2> -> Uni: <2F00> (⼀) 💡 (相当する統合漢字: 一 <4E00>)
     CID: <04CD> -> Uni: <2F7B> (⽻) 💡 (相当する統合漢字: 羽 <7FBD>)
     CID: <04CF> -> Uni: <2FAC> (⾬) 💡 (相当する統合漢字: 雨 <96E8>)
     CID: <04D5> -> Uni: <2F85> (⾅) 💡 (相当する統合漢字: 臼 <81FC>)
     CID: <04DF> -> Uni: <2F60> (⽠) 💡 (相当する統合漢字: 瓜 <74DC>)
     CID: <0537> -> Uni: <2F04> (⼄) 💡 (相当する統合漢字: 乙 <4E59>)
     CID: <053D> -> Uni: <2FB3> (⾳) 💡 (相当する統合漢字: 音 <97F3>)
     CID: <0552> -> Uni: <2F55> (⽕) 💡 (相当する統合漢字: 火 <706B>)
     CID: <0555> -> Uni: <2F72> (⽲) 💡 (相当する統合漢字: 禾 <79BE>)
     CID: <058D> -> Uni: <2F99> (⾙) 💡 (相当する統合漢字: 貝 <8C9D>)
     CID: <05B1> -> Uni: <2F93> (⾓) 💡 (相当する統合漢字: 角 <89D2>)
     CID: <05B7> -> Uni: <2FB0> (⾰) 💡 (相当する統合漢字: 革 <9769>)
     CID: <05E2> -> Uni: <2F61> (⽡) 💡 (相当する統合漢字: 瓦 <74E6>)
     CID: <05F1> -> Uni: <2F32> (⼲) 💡 (相当する統合漢字: 干 <5E72>)
     CID: <0603> -> Uni: <2F62> (⽢) 💡 (相当する統合漢字: 甘 <7518>)
     CID: <060A> -> Uni: <2F78> (⽸) 💡 (相当する統合漢字: 缶 <7F36>)
     CID: <066C> -> Uni: <2FC9> (⿉) 💡 (相当する統合漢字: 黍 <9ECD>)
     CID: <0679> -> Uni: <2F38> (⼸) 💡 (相当する統合漢字: 弓 <5F13>)
     CID: <0689> -> Uni: <2F5C> (⽜) 💡 (相当する統合漢字: 牛 <725B>)
     CID: <0697> -> Uni: <2FC2> (⿂) 💡 (相当する統合漢字: 魚 <9B5A>)
     CID: <06C6> -> Uni: <2F5F> (⽟) 💡 (相当する統合漢字: 玉 <7389>)
     CID: <06CC> -> Uni: <2F31> (⼱) 💡 (相当する統合漢字: 巾 <5DFE>)
     CID: <06CE> -> Uni: <2F44> (⽄) 💡 (相当する統合漢字: 斤 <65A4>)
     CID: <06DC> -> Uni: <2FA6> (⾦) 💡 (相当する統合漢字: 金 <91D1>)
     CID: <073F> -> Uni: <2F4B> (⽋) 💡 (相当する統合漢字: 欠 <6B20>)
     CID: <0742> -> Uni: <2F73> (⽳) 💡 (相当する統合漢字: 穴 <7A74>)
     CID: <0744> -> Uni: <2F8E> (⾎) 💡 (相当する統合漢字: 血 <8840>)
     CID: <0746> -> Uni: <2F49> (⽉) 💡 (相当する統合漢字: 月 <6708>)
     CID: <075A> -> Uni: <2F5D> (⽝) 💡 (相当する統合漢字: 犬 <72AC>)
     CID: <0761> -> Uni: <2F92> (⾒) 💡 (相当する統合漢字: 見 <898B>)
     CID: <0772> -> Uni: <2F5E> (⽞) 💡 (相当する統合漢字: 玄 <7384>)
     CID: <0776> -> Uni: <2F94> (⾔) 💡 (相当する統合漢字: 言 <8A00>)
     CID: <0780> -> Uni: <2F30> (⼰) 💡 (相当する統合漢字: 己 <5DF1>)
     CID: <0783> -> Uni: <2F3E> (⼾) 💡 (相当する統合漢字: 戶 <6236>)
     CID: <0793> -> Uni: <2FCE> (⿎) 💡 (相当する統合漢字: 鼓 <9F13>)
     CID: <07B3> -> Uni: <2F1D> (⼝) 💡 (相当する統合漢字: 口 <53E3>)
     CID: <07BD> -> Uni: <2F2F> (⼯) 💡 (相当する統合漢字: 工 <5DE5>)
     CID: <07E8> -> Uni: <2F8F> (⾏) 💡 (相当する統合漢字: 行 <884C>)
     CID: <07F5> -> Uni: <2FB9> (⾹) 💡 (相当する統合漢字: 香 <9999>)
     CID: <07F6> -> Uni: <2FBC> (⾼) 💡 (相当する統合漢字: 高 <9AD8>)
     CID: <0809> -> Uni: <2FCA> (⿊) 💡 (相当する統合漢字: 黑 <9ED1>)
     CID: <0810> -> Uni: <2FBB> (⾻) 💡 (相当する統合漢字: 骨 <9AA8>)
     CID: <0823> -> Uni: <2F89> (⾉) 💡 (相当する統合漢字: 艮 <826E>)
     CID: <087E> -> Uni: <2F6B> (⽫) 💡 (相当する統合漢字: 皿 <76BF>)
     CID: <0883> -> Uni: <2F2D> (⼭) 💡 (相当する統合漢字: 山 <5C71>)
     CID: <089E> -> Uni: <2F20> (⼠) 💡 (相当する統合漢字: 士 <58EB>)
     CID: <08A2> -> Uni: <2F26> (⼦) 💡 (相当する統合漢字: 子 <5B50>)
     CID: <08A9> -> Uni: <2F40> (⽀) 💡 (相当する統合漢字: 支 <652F>)
     CID: <08AF> -> Uni: <2F4C> (⽌) 💡 (相当する統合漢字: 止 <6B62>)
     CID: <08B1> -> Uni: <2F52> (⽒) 💡 (相当する統合漢字: 氏 <6C0F>)
     CID: <08B5> -> Uni: <2F77> (⽷) 💡 (相当する統合漢字: 糸 <7CF8>)
     CID: <08BA> -> Uni: <2F84> (⾄) 💡 (相当する統合漢字: 至 <81F3>)
     CID: <08D6> -> Uni: <2F70> (⽰) 💡 (相当する統合漢字: 示 <793A>)
     CID: <08D7> -> Uni: <2F7D> (⽽) 💡 (相当する統合漢字: 而 <800C>)
     CID: <08D8> -> Uni: <2F7F> (⽿) 💡 (相当する統合漢字: 耳 <8033>)
     CID: <08D9> -> Uni: <2F83> (⾃) 💡 (相当する統合漢字: 自 <81EA>)
     CID: <08DD> -> Uni: <2FC5> (⿅) 💡 (相当する統合漢字: 鹿 <9E7F>)
     CID: <0904> -> Uni: <2F9E> (⾞) 💡 (相当する統合漢字: 車 <8ECA>)
     CID: <0918> -> Uni: <2F3F> (⼿) 💡 (相当する統合漢字: 手 <624B>)
     CID: <0921> -> Uni: <2FB8> (⾸) 💡 (相当する統合漢字: 首 <9996>)
     CID: <093A> -> Uni: <2F88> (⾈) 💡 (相当する統合漢字: 舟 <821F>)
     CID: <0949> -> Uni: <2F17> (⼗) 💡 (相当する統合漢字: 十 <5341>)
     CID: <0983> -> Uni: <2F25> (⼥) 💡 (相当する統合漢字: 女 <5973>)
     CID: <0998> -> Uni: <2F29> (⼩) 💡 (相当する統合漢字: 小 <5C0F>)
     CID: <09EF> -> Uni: <2F8A> (⾊) 💡 (相当する統合漢字: 色 <8272>)
     CID: <09F1> -> Uni: <2FB7> (⾷) 💡 (相当する統合漢字: 食 <98DF>)
     CID: <09FC> -> Uni: <2F3C> (⼼) 💡 (相当する統合漢字: 心 <5FC3>)
     CID: <0A0B> -> Uni: <2F82> (⾂) 💡 (相当する統合漢字: 臣 <81E3>)
     CID: <0A10> -> Uni: <2F9D> (⾝) 💡 (相当する統合漢字: 身 <8EAB>)
     CID: <0A11> -> Uni: <2F9F> (⾟) 💡 (相当する統合漢字: 辛 <8F9B>)
     CID: <0A15> -> Uni: <2F08> (⼈) 💡 (相当する統合漢字: 人 <4EBA>)
     CID: <0A2D> -> Uni: <2F54> (⽔) 💡 (相当する統合漢字: 水 <6C34>)
     CID: <0A49> -> Uni: <2F28> (⼨) 💡 (相当する統合漢字: 寸 <5BF8>)
     CID: <0A5E> -> Uni: <2F63> (⽣) 💡 (相当する統合漢字: 生 <751F>)
     CID: <0A76> -> Uni: <2F6F> (⽯) 💡 (相当する統合漢字: 石 <77F3>)
     CID: <0A7C> -> Uni: <2F9A> (⾚) 💡 (相当する統合漢字: 赤 <8D64>)
     CID: <0A8B> -> Uni: <2F86> (⾆) 💡 (相当する統合漢字: 舌 <820C>)
     CID: <0AA8> -> Uni: <2F87> (⾇) 💡 (相当する統合漢字: 舛 <821B>)
     CID: <0AD1> -> Uni: <2FCF> (⿏) 💡 (相当する統合漢字: 鼠 <9F20>)
     CID: <0AFA> -> Uni: <2F9B> (⾛) 💡 (相当する統合漢字: 走 <8D70>)
     CID: <0B0F> -> Uni: <2F9C> (⾜) 💡 (相当する統合漢字: 足 <8DB3>)
     CID: <0B49> -> Uni: <2F24> (⼤) 💡 (相当する統合漢字: 大 <5927>)
     CID: <0B64> -> Uni: <2FA0> (⾠) 💡 (相当する統合漢字: 辰 <8FB0>)
     CID: <0B6B> -> Uni: <2F95> (⾕) 💡 (相当する統合漢字: 谷 <8C37>)
     CID: <0B9D> -> Uni: <2F75> (⽵) 💡 (相当する統合漢字: 竹 <7AF9>)
     CID: <0BAE> -> Uni: <2F8D> (⾍) 💡 (相当する統合漢字: 虫 <866B>)
     CID: <0BD9> -> Uni: <2FC3> (⿃) 💡 (相当する統合漢字: 鳥 <9CE5>)
     CID: <0BFC> -> Uni: <2F56> (⽖) 💡 (相当する統合漢字: 爪 <722A>)
     CID: <0C20> -> Uni: <2FCD> (⿍) 💡 (相当する統合漢字: 鼎 <9F0E>)
     CID: <0C40> -> Uni: <2F65> (⽥) 💡 (相当する統合漢字: 田 <7530>)
     CID: <0C49> -> Uni: <2F43> (⽃) 💡 (相当する統合漢字: 斗 <6597>)
     CID: <0C56> -> Uni: <2F1F> (⼟) 💡 (相当する統合漢字: 土 <571F>)
     CID: <0C5D> -> Uni: <2F11> (⼑) 💡 (相当する統合漢字: 刀 <5200>)
     CID: <0C80> -> Uni: <2F96> (⾖) 💡 (相当する統合漢字: 豆 <8C46>)
     CID: <0CAD> -> Uni: <2FA3> (⾣) 💡 (相当する統合漢字: 酉 <9149>)
     CID: <0CCD> -> Uni: <2F06> (⼆) 💡 (相当する統合漢字: 二 <4E8C>)
     CID: <0CD3> -> Uni: <2F81> (⾁) 💡 (相当する統合漢字: 肉 <8089>)
     CID: <0CD6> -> Uni: <2F47> (⽇) 💡 (相当する統合漢字: 日 <65E5>)
     CID: <0CD8> -> Uni: <2F0A> (⼊) 💡 (相当する統合漢字: 入 <5165>)
     CID: <0D07> -> Uni: <2FBA> (⾺) 💡 (相当する統合漢字: 馬 <99AC>)
     CID: <0D2A> -> Uni: <2F69> (⽩) 💡 (相当する統合漢字: 白 <767D>)
     CID: <0D42> -> Uni: <2F0B> (⼋) 💡 (相当する統合漢字: 八 <516B>)
     CID: <0D66> -> Uni: <2FA4> (⾤) 💡 (相当する統合漢字: 釆 <91C6>)
     CID: <0D7C> -> Uni: <2F50> (⽐) 💡 (相当する統合漢字: 比 <6BD4>)
     CID: <0D7F> -> Uni: <2F6A> (⽪) 💡 (相当する統合漢字: 皮 <76AE>)
     CID: <0D89> -> Uni: <2FAE> (⾮) 💡 (相当する統合漢字: 非 <975E>)
     CID: <0D8A> -> Uni: <2FB6> (⾶) 💡 (相当する統合漢字: 飛 <98DB>)
     CID: <0D95> -> Uni: <2FD0> (⿐) 💡 (相当する統合漢字: 鼻 <9F3B>)
     CID: <0D99> -> Uni: <2F66> (⽦) 💡 (相当する統合漢字: 疋 <758B>)
     CID: <0DD7> -> Uni: <2F57> (⽗) 💡 (相当する統合漢字: 父 <7236>)
     CID: <0DE0> -> Uni: <2FA9> (⾩) 💡 (相当する統合漢字: 阜 <961C>)
     CID: <0DEB> -> Uni: <2FB5> (⾵) 💡 (相当する統合漢字: 風 <98A8>)
     CID: <0E0A> -> Uni: <2F42> (⽂) 💡 (相当する統合漢字: 文 <6587>)
     CID: <0E18> -> Uni: <2F76> (⽶) 💡 (相当する統合漢字: 米 <7C73>)
     CID: <0E19> -> Uni: <2FB4> (⾴) 💡 (相当する統合漢字: 頁 <9801>)
     CID: <0E24> -> Uni: <2F5A> (⽚) 💡 (相当する統合漢字: 片 <7247>)
     CID: <0E4F> -> Uni: <2F45> (⽅) 💡 (相当する統合漢字: 方 <65B9>)
     CID: <0E7E> -> Uni: <2F18> (⼘) 💡 (相当する統合漢字: 卜 <535C>)
     CID: <0E93> -> Uni: <2FC7> (⿇) 💡 (相当する統合漢字: 麻 <9EBB>)
     CID: <0EA4> -> Uni: <2F1C> (⼜) 💡 (相当する統合漢字: 又 <53C8>)
     CID: <0EC5> -> Uni: <2F6D> (⽭) 💡 (相当する統合漢字: 矛 <77DB>)
     CID: <0EDA> -> Uni: <2FAF> (⾯) 💡 (相当する統合漢字: 面 <9762>)
     CID: <0EE1> -> Uni: <2F51> (⽑) 💡 (相当する統合漢字: 毛 <6BDB>)
     CID: <0EE8> -> Uni: <2F4A> (⽊) 💡 (相当する統合漢字: 木 <6728>)
     CID: <0EEA> -> Uni: <2F6C> (⽬) 💡 (相当する統合漢字: 目 <76EE>)
