フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
129,"Unknown",905,0,6,0,0,0,0,0,0,1
128,"Unknown",897,0,3,0,0,0,0,0,0,1
127,"Unknown",892,0,2,0,0,0,0,0,0,1
126,"Unknown",888,0,1,0,0,0,0,0,0,1
125,"Unknown",885,0,16,0,0,0,0,0,0,5
124,"Unknown",856,2,1,0,0,0,0,0,0,1
123,"Unknown",851,10,4,0,0,0,0,0,0,1
122,"Unknown",835,7,5,0,0,0,0,0,0,1
121,"Unknown",821,7,1,0,0,0,0,0,0,1
120,"Unknown",811,2,3,0,0,0,0,0,0,2
119,"Unknown",801,5,0,0,0,0,0,0,0,1
118,"Unknown",794,3,1,0,0,0,0,0,0,2
117,"Unknown",786,5,1,0,0,0,0,0,0,1
116,"Unknown",778,5,1,0,0,0,0,0,0,1
115,"Unknown",770,4,4,0,0,0,0,0,0,1
114,"Unknown",760,3,1,0,0,0,0,0,0,1
113,"Unknown",754,2,1,0,0,0,0,0,0,1
112,"Unknown",749,10,1,0,0,0,0,0,0,1
111,"Unknown",736,6,2,0,0,0,0,0,0,1
110,"Unknown",726,4,3,0,0,0,0,0,0,1
109,"Unknown",717,2,1,0,0,0,0,0,0,1
108,"Unknown",712,1,0,0,0,0,0,0,0,1
107,"Unknown",709,4,1,0,0,0,0,0,0,1
106,"Unknown",702,4,1,0,0,0,0,0,0,1
105,"Unknown",695,5,0,0,0,0,0,0,0,1
104,"Unknown",688,8,0,0,0,0,0,0,0,1
103,"Unknown",678,2,0,0,0,0,0,0,0,1
102,"Unknown",674,8,1,0,0,0,0,0,0,1
101,"Unknown",663,1,1,0,0,0,0,0,0,1
100,"Unknown",659,5,2,0,0,0,0,0,0,1
99,"Unknown",650,5,3,0,0,0,0,0,0,1
98,"Unknown",640,3,0,0,0,0,0,0,0,1
97,"Unknown",635,8,3,0,0,0,0,0,0,1
96,"Unknown",622,3,1,0,0,0,0,0,0,1
95,"Unknown",616,5,1,0,0,0,0,0,0,1
94,"Unknown",608,8,9,0,0,0,0,0,0,1
93,"Unknown",589,6,2,0,0,0,0,0,0,1
92,"Unknown",579,1,0,0,0,0,0,0,0,1
91,"Unknown",576,5,0,0,0,0,0,0,0,1
90,"Unknown",569,2,0,0,0,0,0,0,0,1
89,"Unknown",565,10,1,0,0,0,0,0,0,1
88,"Unknown",552,5,1,0,0,0,0,0,0,1
87,"Unknown",544,6,1,0,0,0,0,0,0,1
86,"Unknown",535,9,5,0,0,0,0,0,0,1
85,"BDAAAA+BIZUDPGothic-Regular",519,0,0,0,0,9,0,0,2,1
84,"ADAAAA+BIZUDPGothic-Regular",515,0,0,0,0,1,0,0,0,1
