フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
83,"BDAAAA+BIZUDPGothic-Regular",431,0,0,0,0,9,0,0,2,1
82,"ADAAAA+BIZUDPGothic-Regular",427,0,0,0,0,1,0,0,0,1
81,"ZCAAAA+BIZUDPGothic-Regular",423,0,0,0,0,3,0,0,0,1
80,"YCAAAA+BIZUDPGothic-Regular",419,0,0,0,0,1,0,0,0,1
79,"XCAAAA+BIZUDPGothic-Regular",415,0,0,0,0,3,0,0,0,1
78,"WCAAAA+BIZUDPGothic-Regular",411,0,0,0,0,2,0,0,0,1
77,"VCAAAA+BIZUDPGothic-Regular",407,0,0,0,0,2,0,0,0,1
76,"UCAAAA+BIZUDPGothic-Regular",403,0,0,0,0,1,0,0,0,1
75,"TCAAAA+BIZUDPGothic-Regular",399,0,0,0,0,1,0,0,0,1
74,"SCAAAA+BIZUDPGothic-Regular",395,0,0,0,0,1,0,0,0,1
73,"RCAAAA+BIZUDPGothic-Regular",391,0,0,0,0,1,0,0,1,1
72,"QCAAAA+BIZUDPGothic-Regular",387,0,0,0,0,1,0,0,0,1
71,"PCAAAA+BIZUDPGothic-Regular",383,0,0,0,0,0,0,0,1,2
70,"OCAAAA+BIZUDPGothic-Regular",379,0,0,0,0,3,0,0,0,1
69,"NCAAAA+BIZUDPGothic-Regular",375,0,0,0,0,1,0,0,1,1
68,"MCAAAA+BIZUDPGothic-Regular",371,0,0,0,0,1,0,0,0,1
67,"LCAAAA+BIZUDPGothic-Regular",367,0,0,0,0,2,0,0,0,1
66,"KCAAAA+BIZUDPGothic-Regular",363,0,0,0,0,2,0,0,0,1
65,"JCAAAA+BIZUDPGothic-Regular",359,0,0,0,0,3,0,0,0,1
64,"ICAAAA+BIZUDPGothic-Regular",355,0,0,0,0,1,0,0,0,1
63,"HCAAAA+BIZUDPGothic-Regular",351,0,0,0,0,1,0,0,0,1
62,"GCAAAA+BIZUDPGothic-Regular",347,0,0,0,0,2,0,0,0,1
61,"FCAAAA+BIZUDPGothic-Regular",343,0,0,0,0,4,0,0,0,1
60,"ECAAAA+BIZUDPGothic-Regular",339,0,0,0,0,3,0,0,0,1
59,"DCAAAA+BIZUDPGothic-Regular",335,0,0,0,0,2,0,0,0,1
58,"CCAAAA+BIZUDPGothic-Regular",331,0,0,0,0,1,0,0,0,1
57,"BCAAAA+BIZUDPGothic-Regular",327,0,0,0,0,6,0,0,0,1
56,"ACAAAA+BIZUDPGothic-Regular",323,0,0,0,0,1,0,0,1,1
55,"ZBAAAA+BIZUDPGothic-Regular",319,0,0,0,0,2,0,0,0,1
54,"YBAAAA+BIZUDPGothic-Regular",315,0,0,0,0,1,0,0,0,1
53,"XBAAAA+BIZUDPGothic-Regular",311,0,0,0,0,3,0,0,0,2
52,"WBAAAA+BIZUDPGothic-Regular",307,0,0,0,0,3,0,0,0,1
51,"VBAAAA+BIZUDPGothic-Regular",303,0,0,0,0,0,0,0,1,1
50,"UBAAAA+BIZUDPGothic-Regular",299,0,0,0,0,4,0,0,0,1
49,"TBAAAA+BIZUDPGothic-Regular",295,0,0,0,0,3,0,0,0,1
48,"SBAAAA+BIZUDPGothic-Regular",291,0,0,0,0,2,0,0,0,1
47,"RBAAAA+BIZUDPGothic-Regular",287,0,0,0,0,0,0,0,2,1
46,"QBAAAA+BIZUDPGothic-Regular",283,0,0,0,0,2,0,0,0,1
45,"PBAAAA+BIZUDPGothic-Regular",279,0,0,0,0,3,0,0,0,1
44,"OBAAAA+BIZUDPGothic-Regular",275,0,0,0,0,3,0,0,0,2
43,"NBAAAA+BIZUDPGothic-Regular",271,0,0,0,0,1,0,0,0,1
42,"MBAAAA+BIZUDPGothic-Regular",267,0,0,0,0,1,0,0,0,1
41,"LBAAAA+BIZUDPGothic-Regular",263,0,0,0,0,1,0,0,0,1
40,"Unknown",258,1,0,0,0,0,0,0,0,1
39,"JBAAAA+BIZUDPGothic-Regular",255,0,0,0,0,2,0,0,0,1
38,"IBAAAA+BIZUDPGothic-Regular",251,0,0,0,0,2,0,0,0,1
37,"HBAAAA+BIZUDPGothic-Regular",247,0,0,0,0,2,0,0,1,1
36,"GBAAAA+BIZUDPGothic-Regular",243,0,0,0,0,5,0,0,1,1
35,"FBAAAA+BIZUDPGothic-Regular",239,0,0,0,0,1,0,0,2,1
34,"EBAAAA+BIZUDPGothic-Regular",235,0,0,0,0,1,0,0,0,1
33,"DBAAAA+BIZUDPGothic-Regular",231,0,0,0,0,5,0,0,3,1
32,"CBAAAA+BIZUDPGothic-Regular",227,0,0,0,0,2,0,0,0,1
31,"BBAAAA+BIZUDPGothic-Regular",223,0,0,0,0,2,0,0,0,1
30,"ABAAAA+BIZUDPGothic-Regular",219,0,0,0,0,4,0,0,1,1
29,"ZAAAAA+BIZUDPGothic-Regular",215,0,0,0,0,1,0,0,0,1
28,"YAAAAA+BIZUDPGothic-Regular",211,0,0,0,0,1,1,0,0,1
27,"XAAAAA+BIZUDPGothic-Regular",207,0,0,0,0,1,0,0,0,1
26,"WAAAAA+BIZUDPGothic-Regular",203,0,0,0,0,2,0,0,1,1
25,"VAAAAA+BIZUDPGothic-Regular",199,0,0,0,0,7,0,0,0,1
24,"UAAAAA+BIZUDPGothic-Regular",195,0,0,0,0,1,0,0,0,1
23,"TAAAAA+BIZUDPGothic-Regular",191,0,0,0,0,5,0,0,1,1
22,"SAAAAA+BIZUDPGothic-Regular",187,0,0,0,0,3,1,0,1,1
21,"RAAAAA+BIZUDPGothic-Regular",183,0,0,0,0,0,0,0,1,1
20,"QAAAAA+BIZUDPGothic-Regular",179,0,0,0,0,5,0,0,0,1
19,"PAAAAA+BIZUDPGothic-Regular",175,0,0,0,0,1,0,0,3,2
18,"OAAAAA+BIZUDPGothic-Regular",171,0,0,0,0,2,0,0,3,1
17,"NAAAAA+BIZUDPGothic-Regular",167,0,0,0,0,0,0,0,0,2
16,"MAAAAA+BIZUDPGothic-Regular",163,0,0,0,0,0,0,0,0,2
15,"LAAAAA+BIZUDPGothic-Regular",159,0,0,0,0,2,0,0,1,2
14,"KAAAAA+BIZUDPGothic-Regular",155,0,0,0,0,3,0,0,0,3
