フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
117,"Unknown",645,0,1,0,0,0,0,0,0,1
116,"Unknown",642,0,1,0,0,0,0,0,0,1
115,"Unknown",639,0,3,0,0,0,0,0,0,1
114,"Unknown",634,0,5,0,0,0,0,0,0,1
113,"Unknown",627,0,5,0,0,0,0,0,0,1
112,"Unknown",620,0,1,0,0,0,0,0,0,1
111,"Unknown",617,0,1,0,0,0,0,0,0,1
110,"Unknown",614,0,3,0,0,0,0,0,0,1
109,"Unknown",609,0,1,0,0,0,0,0,0,1
108,"Unknown",606,0,1,0,0,0,0,0,0,1
107,"Unknown",603,0,2,0,0,0,0,0,0,1
106,"Unknown",599,0,1,0,0,0,0,0,0,1
105,"Unknown",596,0,1,0,0,0,0,0,0,1
104,"Unknown",593,0,3,0,0,0,0,0,0,1
103,"Unknown",588,0,6,0,0,0,0,0,0,1
102,"Unknown",580,0,1,0,0,0,0,0,0,1
101,"Unknown",577,0,9,0,0,0,0,0,0,1
100,"Unknown",566,0,1,0,0,0,0,0,0,1
99,"Unknown",563,0,1,0,0,0,0,0,0,1
98,"Unknown",560,0,1,0,0,0,0,0,0,1
97,"Unknown",557,0,1,0,0,0,0,0,0,1
96,"Unknown",554,0,1,0,0,0,0,0,0,1
95,"Unknown",551,0,3,0,0,0,0,0,0,1
94,"Unknown",546,0,2,0,0,0,0,0,0,1
93,"Unknown",542,0,1,0,0,0,0,0,0,1
92,"Unknown",539,0,1,0,0,0,0,0,0,1
91,"Unknown",536,0,4,0,0,0,0,0,0,1
90,"Unknown",530,0,16,0,0,0,0,0,0,5
89,"CDAAAA+LINESeedJP-Regular",501,13,18,0,0,0,0,0,0,4
88,"Unknown",497,1,2,0,0,0,0,0,0,1
87,"BDAAAA+LINESeedJP-Regular",492,0,0,0,0,8,0,0,2,1
86,"ADAAAA+LINESeedJP-Regular",488,0,0,0,0,1,0,0,0,1
85,"ZCAAAA+LINESeedJP-Regular",484,0,0,0,0,3,0,0,0,1
84,"YCAAAA+LINESeedJP-Regular",480,0,0,0,0,1,0,0,0,1
83,"XCAAAA+LINESeedJP-Regular",476,0,0,0,0,3,0,0,0,1
82,"WCAAAA+LINESeedJP-Regular",472,0,0,0,0,2,0,0,0,1
81,"VCAAAA+LINESeedJP-Regular",468,0,0,0,0,2,0,0,0,1
80,"UCAAAA+LINESeedJP-Regular",464,0,0,0,0,1,0,0,0,1
79,"Unknown",460,1,1,0,0,0,0,0,0,2
78,"TCAAAA+LINESeedJP-Regular",454,0,0,0,0,1,0,0,0,1
77,"SCAAAA+LINESeedJP-Regular",450,0,0,0,0,1,0,0,1,1
76,"RCAAAA+LINESeedJP-Regular",446,0,0,0,0,1,0,0,0,1
75,"QCAAAA+LINESeedJP-Regular",442,0,0,0,0,0,0,0,1,2
74,"PCAAAA+LINESeedJP-Regular",438,0,0,0,0,3,0,0,0,1
73,"OCAAAA+LINESeedJP-Regular",434,0,0,0,0,1,0,0,1,1
72,"NCAAAA+LINESeedJP-Regular",430,0,0,0,0,1,0,0,0,1
71,"MCAAAA+LINESeedJP-Regular",426,0,0,0,0,2,0,0,0,1
70,"LCAAAA+LINESeedJP-Regular",422,0,0,0,0,2,0,0,0,1
69,"KCAAAA+LINESeedJP-Regular",418,0,0,0,0,3,0,0,0,1
68,"JCAAAA+LINESeedJP-Regular",414,0,0,0,0,1,0,0,0,1
67,"ICAAAA+LINESeedJP-Regular",410,0,0,0,0,1,0,0,0,1
66,"HCAAAA+LINESeedJP-Regular",406,0,0,0,0,1,0,0,0,1
65,"Unknown",402,1,0,0,0,0,0,0,0,1
64,"GCAAAA+LINESeedJP-Regular",399,0,0,0,0,4,0,0,0,1
63,"Unknown",395,1,0,0,0,0,0,0,0,1
62,"FCAAAA+LINESeedJP-Regular",392,0,0,0,0,2,0,0,0,1
61,"ECAAAA+LINESeedJP-Regular",388,0,0,0,0,2,0,0,0,1
60,"DCAAAA+LINESeedJP-Regular",384,0,0,0,0,1,0,0,0,1
59,"CCAAAA+LINESeedJP-Regular",380,0,0,0,0,6,0,0,0,1
58,"BCAAAA+LINESeedJP-Regular",376,0,0,0,0,1,0,0,1,1
57,"ACAAAA+LINESeedJP-Regular",372,0,0,0,0,1,0,0,0,1
56,"ZBAAAA+LINESeedJP-Regular",368,0,0,0,0,2,0,0,0,1
55,"YBAAAA+LINESeedJP-Regular",364,0,0,0,0,1,0,0,0,1
54,"XBAAAA+LINESeedJP-Regular",360,0,0,0,0,3,0,0,0,2
53,"WBAAAA+LINESeedJP-Regular",356,0,0,0,0,3,0,0,0,1
52,"VBAAAA+LINESeedJP-Regular",352,0,0,0,0,0,0,0,1,1
51,"UBAAAA+LINESeedJP-Regular",348,0,0,0,0,4,0,0,0,1
