フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
87,"Unknown",1053,1,0,0,0,0,0,0,0,3
86,"Unknown",856,1,60,0,0,0,0,0,0,25
85,"Unknown",719,0,0,0,0,9,0,0,2,1
84,"Unknown",705,0,0,0,0,1,0,0,0,1
83,"Unknown",701,0,0,0,0,3,0,0,0,1
82,"Unknown",695,0,0,0,0,1,0,0,0,1
81,"Unknown",691,0,0,0,0,3,0,0,0,1
80,"Unknown",685,0,0,0,0,2,0,0,0,1
79,"Unknown",680,0,0,0,0,2,0,0,0,1
78,"Unknown",675,0,0,0,0,1,0,0,0,1
77,"Unknown",671,0,0,0,0,1,0,0,0,1
76,"Unknown",667,0,0,0,0,1,0,0,0,1
75,"Unknown",663,0,0,0,0,1,0,0,1,1
74,"Unknown",658,0,0,0,0,1,0,0,0,1
73,"Unknown",654,0,0,0,0,0,0,0,1,2
72,"Unknown",649,0,0,0,0,3,0,0,0,1
71,"Unknown",643,0,0,0,0,1,0,0,1,1
70,"Unknown",638,0,0,0,0,1,0,0,0,1
69,"Unknown",634,0,0,0,0,2,0,0,0,1
68,"Unknown",629,0,0,0,0,2,0,0,0,1
67,"Unknown",624,0,0,0,0,3,0,0,0,1
66,"Unknown",618,0,0,0,0,1,0,0,0,1
65,"Unknown",614,0,0,0,0,1,0,0,0,1
64,"Unknown",610,0,0,0,0,2,0,0,0,1
63,"Unknown",605,0,0,0,0,4,0,0,0,1
62,"Unknown",598,0,0,0,0,3,0,0,0,1
61,"Unknown",592,0,0,0,0,2,0,0,0,1
60,"Unknown",587,0,0,0,0,1,0,0,0,1
59,"Unknown",583,0,0,0,0,6,0,0,0,1
58,"Unknown",574,0,0,0,0,1,0,0,1,1
57,"Unknown",569,0,0,0,0,1,0,0,0,1
56,"Unknown",565,0,0,0,0,2,0,0,0,1
55,"Unknown",560,0,0,0,0,1,0,0,0,1
54,"Unknown",556,0,0,0,0,3,0,0,0,2
53,"Unknown",549,0,0,0,0,3,0,0,0,1
52,"Unknown",543,0,0,0,0,0,0,0,1,1
51,"Unknown",539,0,0,0,0,4,0,0,0,1
50,"Unknown",532,0,0,0,0,3,0,0,0,1
49,"Unknown",526,0,0,0,0,2,0,0,0,1
48,"Unknown",521,0,0,0,0,0,0,0,2,1
47,"Unknown",516,0,0,0,0,2,0,0,0,1
46,"Unknown",511,0,0,0,0,3,0,0,0,1
45,"Unknown",505,0,0,0,0,3,0,0,0,2
44,"Unknown",498,0,0,0,0,1,0,0,0,1
43,"Unknown",494,0,0,0,0,1,0,0,0,1
42,"Unknown",490,0,0,0,0,1,0,0,0,1
41,"Unknown",486,0,0,0,0,2,0,0,0,1
40,"Unknown",481,0,0,0,0,5,0,0,0,1
39,"Unknown",473,0,0,0,0,2,0,0,0,1
38,"Unknown",468,0,0,0,0,2,0,0,1,1
37,"Unknown",462,0,0,0,0,6,0,0,1,1
36,"Unknown",452,0,0,0,0,1,0,0,2,1
35,"Unknown",446,0,0,0,0,1,0,0,0,1
34,"Unknown",442,0,0,0,0,2,0,0,0,1
33,"Unknown",437,0,0,0,0,2,0,0,0,1
32,"Unknown",432,0,0,0,0,4,0,0,1,1
31,"Unknown",424,0,0,0,0,1,0,0,0,1
30,"Unknown",420,0,0,0,0,2,0,0,1,1
29,"Unknown",414,0,0,0,0,1,1,0,0,1
28,"Unknown",409,0,0,0,0,1,0,0,0,1
27,"Unknown",405,0,0,0,0,2,0,0,1,1
26,"Unknown",399,0,0,0,0,7,0,0,0,1
25,"Unknown",389,0,0,0,0,1,0,0,0,1
24,"Unknown",385,0,0,0,0,5,0,0,1,1
23,"Unknown",376,0,0,0,0,0,0,0,1,1
22,"Unknown",372,0,0,0,0,5,0,0,0,1
21,"Unknown",364,0,0,0,0,2,1,0,2,1
20,"Unknown",356,1,0,0,0,0,0,0,0,1
19,"Unknown",352,0,0,0,0,0,0,0,0,2
17,"Unknown",348,0,0,0,0,3,1,0,1,1
16,"Unknown",340,0,0,0,0,1,0,0,3,3
15,"Unknown",331,0,0,0,0,3,0,0,0,2
14,"Unknown",324,0,0,0,0,2,0,0,4,2
13,"Unknown",314,0,0,0,0,2,0,0,3,1
12,"Unknown",306,0,0,0,0,0,0,0,0,2
11,"Unknown",302,0,0,0,0,0,0,0,0,2
10,"Unknown",298,0,0,0,0,5,0,0,4,1
9,"Unknown",286,0,0,0,0,4,0,0,6,2
8,"Unknown",272,0,0,0,0,2,0,0,0,2
7,"Unknown",266,0,0,0,0,2,1,0,2,1
6,"Unknown",258,0,0,0,0,4,0,0,3,5
5,"Unknown",244,0,0,0,0,0,0,0,0,61
4,"Unknown",142,0,0,0,0,0,0,0,0,9
