フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
88,"QMCLVI+BIZUDPGothic-Regular",579,0,0,0,0,9,0,0,2,1
87,"VIHCJV+BIZUDPGothic-Regular",573,0,0,0,0,1,0,0,0,1
86,"BOEMOG+BIZUDPGothic-Regular",567,0,0,0,0,3,0,0,0,1
85,"SWNEQN+BIZUDPGothic-Regular",561,0,0,0,0,1,0,0,0,1
84,"PHKYDQ+BIZUDPGothic-Regular",555,0,0,0,0,3,0,0,0,1
83,"IQAIOA+BIZUDPGothic-Regular",549,0,0,0,0,2,0,0,0,1
82,"KBZIZO+BIZUDPGothic-Regular",543,0,0,0,0,2,0,0,0,1
81,"XEIANM+BIZUDPGothic-Regular",537,0,0,0,0,1,0,0,0,1
80,"FMGIGI+BIZUDPGothic-Regular",531,0,0,0,0,1,0,0,0,1
79,"QJNRPD+BIZUDPGothic-Regular",525,0,0,0,0,1,0,0,0,1
78,"FCPMCB+BIZUDPGothic-Regular",519,0,0,0,0,1,0,0,1,1
77,"WEHXYN+BIZUDPGothic-Regular",513,0,0,0,0,1,0,0,0,1
76,"TEITHS+BIZUDPGothic-Regular",507,0,0,0,0,0,0,0,1,2
75,"QVCRBM+BIZUDPGothic-Regular",501,0,0,0,0,3,0,0,0,1
74,"DFJEEI+BIZUDPGothic-Regular",495,0,0,0,0,1,0,0,1,1
73,"JJFMLV+BIZUDPGothic-Regular",489,0,0,0,0,1,0,0,0,1
72,"KXBHUE+BIZUDPGothic-Regular",483,0,0,0,0,2,0,0,0,1
71,"UZMZNY+BIZUDPGothic-Regular",477,0,0,0,0,2,0,0,0,1
70,"IOOJHF+BIZUDPGothic-Regular",471,0,0,0,0,3,0,0,0,1
69,"KFPCYG+BIZUDPGothic-Regular",465,0,0,0,0,1,0,0,0,1
68,"ZEBESV+BIZUDPGothic-Regular",459,0,0,0,0,1,0,0,0,1
67,"FZZLQT+BIZUDPGothic-Regular",453,0,0,0,0,2,0,0,0,1
66,"CXPKFC+BIZUDPGothic-Regular",447,0,0,0,0,4,0,0,0,1
65,"HFOVOT+BIZUDPGothic-Regular",441,0,0,0,0,3,0,0,0,1
64,"ECWHXU+BIZUDPGothic-Regular",435,0,0,0,0,2,0,0,0,1
63,"DEBZHL+BIZUDPGothic-Regular",429,0,0,0,0,1,0,0,0,1
62,"MUOZSS+BIZUDPGothic-Regular",423,0,0,0,0,6,0,0,0,1
61,"SBDPUP+BIZUDPGothic-Regular",417,0,0,0,0,1,0,0,1,1
60,"YLPDAY+BIZUDPGothic-Regular",411,0,0,0,0,1,0,0,0,1
59,"DCLOBQ+BIZUDPGothic-Regular",405,0,0,0,0,2,0,0,0,1
58,"TIZFJW+BIZUDPGothic-Regular",399,0,0,0,0,1,0,0,0,1
57,"KTDTHF+BIZUDPGothic-Regular",393,0,0,0,0,3,0,0,0,2
56,"TPKXXE+BIZUDPGothic-Regular",387,0,0,0,0,3,0,0,0,1
55,"MLGUNP+BIZUDPGothic-Regular",381,0,0,0,0,0,0,0,1,1
54,"OHDNHV+BIZUDPGothic-Regular",375,0,0,0,0,4,0,0,0,1
53,"KUPQUA+BIZUDPGothic-Regular",369,0,0,0,0,3,0,0,0,1
52,"MLJXLP+BIZUDPGothic-Regular",363,0,0,0,0,2,0,0,0,1
51,"RZCJMC+BIZUDPGothic-Regular",357,0,0,0,0,0,0,0,2,1
50,"RCPEFE+BIZUDPGothic-Regular",351,0,0,0,0,2,0,0,0,1
49,"MOJUKG+BIZUDPGothic-Regular",345,0,0,0,0,3,0,0,0,1
48,"IIBRNC+BIZUDPGothic-Regular",339,0,0,0,0,3,0,0,0,2
