フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
89,"DKFTMI+LINESeedJP-Regular",586,189,0,0,0,0,0,0,0,1
88,"VUUHZW+LINESeedJP-Regular",580,20,20,0,0,0,0,0,0,1
87,"SJKSFO+LINESeedJP-Regular",574,0,0,0,0,8,0,0,2,1
86,"NJIRCV+LINESeedJP-Regular",568,0,0,0,0,1,0,0,0,1
85,"HFVPEG+LINESeedJP-Regular",562,0,0,0,0,3,0,0,0,1
84,"VLHITN+LINESeedJP-Regular",556,0,0,0,0,1,0,0,0,1
83,"YBWWJX+LINESeedJP-Regular",550,0,0,0,0,3,0,0,0,1
82,"BGFKRZ+LINESeedJP-Regular",544,0,0,0,0,2,0,0,0,1
81,"BGBFPF+LINESeedJP-Regular",538,0,0,0,0,2,0,0,0,1
80,"VUXELJ+LINESeedJP-Regular",532,0,0,0,0,1,0,0,0,1
79,"XWAECY+LINESeedJP-Regular",526,0,0,0,0,1,0,0,0,1
78,"DRHMAZ+LINESeedJP-Regular",520,0,0,0,0,1,0,0,1,1
77,"ZZYGMK+LINESeedJP-Regular",514,0,0,0,0,1,0,0,0,1
76,"VRHJLE+LINESeedJP-Regular",508,0,0,0,0,0,0,0,1,2
75,"TRBYDG+LINESeedJP-Regular",502,0,0,0,0,3,0,0,0,1
74,"CVECID+LINESeedJP-Regular",496,0,0,0,0,1,0,0,1,1
73,"XMXRDP+LINESeedJP-Regular",490,0,0,0,0,1,0,0,0,1
72,"UODGSI+LINESeedJP-Regular",484,0,0,0,0,2,0,0,0,1
71,"RXHHOT+LINESeedJP-Regular",478,0,0,0,0,2,0,0,0,1
70,"YJOJZK+LINESeedJP-Regular",472,0,0,0,0,3,0,0,0,1
69,"UGMIKW+LINESeedJP-Regular",466,0,0,0,0,1,0,0,0,1
68,"OPBFSV+LINESeedJP-Regular",460,0,0,0,0,1,0,0,0,1
67,"SGHYFK+LINESeedJP-Regular",454,0,0,0,0,1,0,0,0,1
66,"LONSFH+LINESeedJP-Regular",448,0,0,0,0,4,0,0,0,1
65,"JDEUKL+LINESeedJP-Regular",442,0,0,0,0,2,0,0,0,1
64,"BSHTWB+LINESeedJP-Regular",436,0,0,0,0,2,0,0,0,1
63,"OMTBVW+LINESeedJP-Regular",430,0,0,0,0,1,0,0,0,1
62,"XZABEU+LINESeedJP-Regular",424,0,0,0,0,6,0,0,0,1
61,"ZOQWSF+LINESeedJP-Regular",418,0,0,0,0,1,0,0,1,1
60,"DTEZML+LINESeedJP-Regular",412,0,0,0,0,1,0,0,0,1
59,"CKLFOL+LINESeedJP-Regular",406,0,0,0,0,2,0,0,0,1
58,"XUHARG+LINESeedJP-Regular",400,0,0,0,0,1,0,0,0,1
57,"NPJKYK+LINESeedJP-Regular",394,0,0,0,0,3,0,0,0,2
56,"ADTNHT+LINESeedJP-Regular",388,0,0,0,0,3,0,0,0,1
55,"XMXRDP+LINESeedJP-Regular",382,0,0,0,0,0,0,0,1,1
54,"RGUXHD+LINESeedJP-Regular",376,0,0,0,0,4,0,0,0,1
