フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
90,"ELBVXW+MPLUS1p-Regular",593,191,0,0,0,0,0,0,0,1
89,"OVNZWP+MPLUS1p-Regular",587,20,41,0,0,0,0,0,0,1
88,"UXGGST+MPLUS1p-Regular",581,0,0,0,0,8,0,0,2,1
87,"LIUWGL+MPLUS1p-Regular",575,0,0,0,0,1,0,0,0,1
86,"MAJGOL+MPLUS1p-Regular",569,0,0,0,0,3,0,0,0,1
85,"REJNEW+MPLUS1p-Regular",563,0,0,0,0,1,0,0,0,1
84,"CZPWMW+MPLUS1p-Regular",557,0,0,0,0,2,0,0,0,1
83,"NZGOXL+MPLUS1p-Regular",551,0,0,0,0,2,0,0,0,1
82,"AUHQFN+MPLUS1p-Regular",545,0,0,0,0,2,0,0,0,1
81,"KYFWBX+MPLUS1p-Regular",539,0,0,0,0,1,0,0,0,1
80,"MUQDMR+MPLUS1p-Regular",533,0,0,0,0,1,0,0,0,1
79,"CRDUBA+MPLUS1p-Regular",527,0,0,0,0,1,0,0,0,1
78,"SGGABW+MPLUS1p-Regular",521,0,0,0,0,1,0,0,1,1
77,"DCXWQN+MPLUS1p-Regular",515,0,0,0,0,1,0,0,0,1
76,"AEPCSH+MPLUS1p-Regular",509,0,0,0,0,0,0,0,1,2
75,"CWOLAM+MPLUS1p-Regular",503,0,0,0,0,3,0,0,0,1
74,"RWDWBQ+MPLUS1p-Regular",497,0,0,0,0,1,0,0,1,1
73,"DNAHAS+MPLUS1p-Regular",491,0,0,0,0,1,0,0,0,1
72,"GZEOLM+MPLUS1p-Regular",485,0,0,0,0,2,0,0,0,1
71,"CDDSSX+MPLUS1p-Regular",479,0,0,0,0,2,0,0,0,1
70,"KWJDGJ+MPLUS1p-Regular",473,0,0,0,0,3,0,0,0,1
69,"MLESLV+MPLUS1p-Regular",467,0,0,0,0,1,0,0,0,1
68,"WKCDWL+MPLUS1p-Regular",461,0,0,0,0,1,0,0,0,1
67,"YTAKFG+MPLUS1p-Regular",455,0,0,0,0,2,0,0,0,1
66,"QTAVMJ+MPLUS1p-Regular",449,0,0,0,0,4,0,0,0,1
65,"RTLEUY+MPLUS1p-Regular",443,0,0,0,0,3,0,0,0,1
64,"CZYIPZ+MPLUS1p-Regular",437,0,0,0,0,2,0,0,0,1
63,"BFJBRA+MPLUS1p-Regular",431,0,0,0,0,1,0,0,0,1
62,"IWEBRN+MPLUS1p-Regular",425,0,0,0,0,6,0,0,0,1
