フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
84,"BDAAAA+BIZUDPGothic-Regular",448,0,0,0,0,9,0,0,2,1
83,"ADAAAA+BIZUDPGothic-Regular",444,0,0,0,0,1,0,0,0,1
82,"ZCAAAA+BIZUDPGothic-Regular",440,0,0,0,0,3,0,0,0,1
81,"YCAAAA+BIZUDPGothic-Regular",436,0,0,0,0,1,0,0,0,1
80,"XCAAAA+BIZUDPGothic-Regular",432,0,0,0,0,3,0,0,0,1
79,"WCAAAA+BIZUDPGothic-Regular",428,0,0,0,0,2,0,0,0,1
78,"VCAAAA+BIZUDPGothic-Regular",424,0,0,0,0,2,0,0,0,1
77,"UCAAAA+BIZUDPGothic-Regular",420,0,0,0,0,1,0,0,0,1
76,"TCAAAA+BIZUDPGothic-Regular",416,0,0,0,0,1,0,0,0,1
75,"SCAAAA+BIZUDPGothic-Regular",412,0,0,0,0,1,0,0,0,1
74,"RCAAAA+BIZUDPGothic-Regular",408,0,0,0,0,1,0,0,1,1
73,"QCAAAA+BIZUDPGothic-Regular",404,0,0,0,0,1,0,0,0,1
72,"PCAAAA+BIZUDPGothic-Regular",400,0,0,0,0,0,0,0,1,2
71,"OCAAAA+BIZUDPGothic-Regular",396,0,0,0,0,3,0,0,0,1
70,"NCAAAA+BIZUDPGothic-Regular",392,0,0,0,0,1,0,0,1,1
69,"MCAAAA+BIZUDPGothic-Regular",388,0,0,0,0,1,0,0,0,1
68,"LCAAAA+BIZUDPGothic-Regular",384,0,0,0,0,2,0,0,0,1
67,"KCAAAA+BIZUDPGothic-Regular",380,0,0,0,0,2,0,0,0,1
66,"JCAAAA+BIZUDPGothic-Regular",376,0,0,0,0,3,0,0,0,1
65,"ICAAAA+BIZUDPGothic-Regular",372,0,0,0,0,1,0,0,0,1
64,"HCAAAA+BIZUDPGothic-Regular",368,0,0,0,0,1,0,0,0,1
63,"GCAAAA+BIZUDPGothic-Regular",364,0,0,0,0,2,0,0,0,1
62,"FCAAAA+BIZUDPGothic-Regular",360,0,0,0,0,4,0,0,0,1
61,"ECAAAA+BIZUDPGothic-Regular",356,0,0,0,0,3,0,0,0,1
60,"DCAAAA+BIZUDPGothic-Regular",352,0,0,0,0,2,0,0,0,1
59,"CCAAAA+BIZUDPGothic-Regular",348,0,0,0,0,1,0,0,0,1
58,"BCAAAA+BIZUDPGothic-Regular",344,0,0,0,0,6,0,0,0,1
57,"ACAAAA+BIZUDPGothic-Regular",340,0,0,0,0,1,0,0,1,1
56,"ZBAAAA+BIZUDPGothic-Regular",336,0,0,0,0,1,0,0,0,1
55,"YBAAAA+BIZUDPGothic-Regular",332,0,0,0,0,2,0,0,0,1
54,"XBAAAA+BIZUDPGothic-Regular",328,0,0,0,0,1,0,0,0,1
53,"WBAAAA+BIZUDPGothic-Regular",324,0,0,0,0,3,0,0,0,2
52,"VBAAAA+BIZUDPGothic-Regular",320,0,0,0,0,3,0,0,0,1
51,"UBAAAA+BIZUDPGothic-Regular",316,0,0,0,0,0,0,0,1,1
50,"TBAAAA+BIZUDPGothic-Regular",312,0,0,0,0,4,0,0,0,1
49,"SBAAAA+BIZUDPGothic-Regular",308,0,0,0,0,3,0,0,0,1
48,"RBAAAA+BIZUDPGothic-Regular",304,0,0,0,0,2,0,0,0,1
47,"QBAAAA+BIZUDPGothic-Regular",300,0,0,0,0,0,0,0,2,1
46,"PBAAAA+BIZUDPGothic-Regular",296,0,0,0,0,2,0,0,0,1
45,"OBAAAA+BIZUDPGothic-Regular",292,0,0,0,0,3,0,0,0,1
44,"NBAAAA+BIZUDPGothic-Regular",288,0,0,0,0,3,0,0,0,2
43,"MBAAAA+BIZUDPGothic-Regular",284,0,0,0,0,1,0,0,0,1
42,"LBAAAA+BIZUDPGothic-Regular",280,0,0,0,0,1,0,0,0,1
41,"KBAAAA+BIZUDPGothic-Regular",276,0,0,0,0,1,0,0,0,1
40,"JBAAAA+BIZUDPGothic-Regular",272,0,0,0,0,2,0,0,0,1
39,"IBAAAA+BIZUDPGothic-Regular",268,0,0,0,0,5,0,0,0,1
38,"HBAAAA+BIZUDPGothic-Regular",264,0,0,0,0,2,0,0,0,1
37,"GBAAAA+BIZUDPGothic-Regular",260,0,0,0,0,2,0,0,1,1
36,"FBAAAA+BIZUDPGothic-Regular",256,0,0,0,0,5,0,0,1,1
35,"EBAAAA+BIZUDPGothic-Regular",252,0,0,0,0,1,0,0,2,1
34,"DBAAAA+BIZUDPGothic-Regular",248,0,0,0,0,1,0,0,0,1
33,"CBAAAA+BIZUDPGothic-Regular",244,0,0,0,0,2,0,0,0,1
32,"BBAAAA+BIZUDPGothic-Regular",240,0,0,0,0,2,0,0,0,1
31,"ABAAAA+BIZUDPGothic-Regular",236,0,0,0,0,4,0,0,1,1
30,"ZAAAAA+BIZUDPGothic-Regular",232,0,0,0,0,1,0,0,0,1
29,"YAAAAA+BIZUDPGothic-Regular",228,0,0,0,0,2,0,0,1,1
28,"XAAAAA+BIZUDPGothic-Regular",224,0,0,0,0,1,1,0,0,1
27,"WAAAAA+BIZUDPGothic-Regular",220,0,0,0,0,1,0,0,0,1
26,"VAAAAA+BIZUDPGothic-Regular",216,0,0,0,0,2,0,0,1,1
25,"UAAAAA+BIZUDPGothic-Regular",212,0,0,0,0,7,0,0,0,1
24,"TAAAAA+BIZUDPGothic-Regular",208,0,0,0,0,1,0,0,0,1
23,"SAAAAA+BIZUDPGothic-Regular",204,0,0,0,0,5,0,0,1,1
22,"RAAAAA+BIZUDPGothic-Regular",200,0,0,0,0,0,0,0,1,1
21,"QAAAAA+BIZUDPGothic-Regular",196,0,0,0,0,5,0,0,0,1
20,"PAAAAA+BIZUDPGothic-Regular",192,0,0,0,0,2,1,0,2,1
19,"OAAAAA+Meiryo",188,200,75,0,0,0,0,0,1,19
17,"NAAAAA+BIZUDPGothic-Regular",184,0,0,0,0,3,1,0,1,1
16,"MAAAAA+BIZUDPGothic-Regular",180,0,0,0,0,1,0,0,3,3
15,"LAAAAA+BIZUDPGothic-Regular",176,0,0,0,0,3,0,0,0,2
14,"KAAAAA+BIZUDPGothic-Regular",172,0,0,0,0,2,0,0,4,2
13,"JAAAAA+BIZUDPGothic-Regular",168,0,0,0,0,2,0,0,3,1
12,"IAAAAA+BIZUDPGothic-Regular",164,0,0,0,0,0,0,0,0,2
11,"HAAAAA+BIZUDPGothic-Regular",160,0,0,0,0,0,0,0,0,2
10,"GAAAAA+BIZUDPGothic-Regular",156,0,0,0,0,5,0,0,4,1
9,"FAAAAA+BIZUDPGothic-Regular",152,0,0,0,0,4,0,0,6,2
8,"EAAAAA+BIZUDPGothic-Regular",148,0,0,0,0,2,0,0,0,2
7,"DAAAAA+BIZUDPGothic-Regular",144,0,0,0,0,2,1,0,2,1
6,"CAAAAA+BIZUDPGothic-Regular",140,0,0,0,0,4,0,0,3,5
5,"BAAAAA+BIZUDPGothic-Regular",136,0,0,0,0,0,0,0,0,61
4,"AAAAAA+BIZUDPGothic-Regular",132,0,0,0,0,0,0,0,0,10
