フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
82,"ADAAAA+LINESeedJP-Regular",428,0,0,0,0,8,0,0,2,1
81,"ZCAAAA+LINESeedJP-Regular",424,0,0,0,0,1,0,0,0,1
80,"YCAAAA+LINESeedJP-Regular",420,0,0,0,0,3,0,0,0,1
79,"XCAAAA+LINESeedJP-Regular",416,0,0,0,0,1,0,0,0,1
78,"WCAAAA+LINESeedJP-Regular",412,0,0,0,0,3,0,0,0,1
77,"VCAAAA+LINESeedJP-Regular",408,0,0,0,0,2,0,0,0,1
76,"UCAAAA+LINESeedJP-Regular",404,0,0,0,0,2,0,0,0,1
75,"TCAAAA+LINESeedJP-Regular",400,0,0,0,0,1,0,0,0,1
74,"SCAAAA+LINESeedJP-Regular",396,0,0,0,0,1,0,0,0,1
73,"RCAAAA+LINESeedJP-Regular",392,0,0,0,0,1,0,0,1,1
72,"QCAAAA+LINESeedJP-Regular",388,0,0,0,0,1,0,0,0,1
71,"PCAAAA+LINESeedJP-Regular",384,0,0,0,0,0,0,0,1,2
70,"OCAAAA+LINESeedJP-Regular",380,0,0,0,0,3,0,0,0,1
69,"NCAAAA+LINESeedJP-Regular",376,0,0,0,0,1,0,0,1,1
68,"MCAAAA+LINESeedJP-Regular",372,0,0,0,0,1,0,0,0,1
67,"LCAAAA+LINESeedJP-Regular",368,0,0,0,0,2,0,0,0,1
66,"KCAAAA+LINESeedJP-Regular",364,0,0,0,0,2,0,0,0,1
65,"JCAAAA+LINESeedJP-Regular",360,0,0,0,0,3,0,0,0,1
64,"ICAAAA+LINESeedJP-Regular",356,0,0,0,0,1,0,0,0,1
63,"HCAAAA+LINESeedJP-Regular",352,0,0,0,0,1,0,0,0,1
62,"GCAAAA+LINESeedJP-Regular",348,0,0,0,0,1,0,0,0,1
61,"FCAAAA+LINESeedJP-Regular",344,0,0,0,0,4,0,0,0,1
60,"ECAAAA+LINESeedJP-Regular",340,0,0,0,0,2,0,0,0,1
59,"DCAAAA+LINESeedJP-Regular",336,0,0,0,0,2,0,0,0,1
58,"CCAAAA+LINESeedJP-Regular",332,0,0,0,0,1,0,0,0,1
57,"BCAAAA+LINESeedJP-Regular",328,0,0,0,0,6,0,0,0,1
56,"ACAAAA+LINESeedJP-Regular",324,0,0,0,0,1,0,0,1,1
55,"ZBAAAA+LINESeedJP-Regular",320,0,0,0,0,2,0,0,0,1
54,"YBAAAA+LINESeedJP-Regular",316,0,0,0,0,1,0,0,0,1
53,"XBAAAA+LINESeedJP-Regular",312,0,0,0,0,3,0,0,0,2
52,"WBAAAA+LINESeedJP-Regular",308,0,0,0,0,3,0,0,0,1
51,"VBAAAA+LINESeedJP-Regular",304,0,0,0,0,0,0,0,1,1
50,"UBAAAA+LINESeedJP-Regular",300,0,0,0,0,4,0,0,0,1
49,"TBAAAA+LINESeedJP-Regular",296,0,0,0,0,3,0,0,0,1
48,"SBAAAA+LINESeedJP-Regular",292,0,0,0,0,2,0,0,0,1
47,"RBAAAA+LINESeedJP-Regular",288,0,0,0,0,0,0,0,2,1
46,"QBAAAA+LINESeedJP-Regular",284,0,0,0,0,2,0,0,0,1
45,"PBAAAA+LINESeedJP-Regular",280,0,0,0,0,3,0,0,0,1
44,"OBAAAA+LINESeedJP-Regular",276,0,0,0,0,3,0,0,0,2
43,"NBAAAA+LINESeedJP-Regular",272,0,0,0,0,1,0,0,0,1
42,"MBAAAA+LINESeedJP-Regular",268,0,0,0,0,1,0,0,0,1
41,"LBAAAA+LINESeedJP-Regular",264,0,0,0,0,1,0,0,0,1
40,"KBAAAA+Meiryo",260,5,0,0,0,0,0,0,0,1
39,"JBAAAA+LINESeedJP-Regular",256,0,0,0,0,2,0,0,0,1
38,"IBAAAA+LINESeedJP-Regular",252,0,0,0,0,2,0,0,0,1
37,"HBAAAA+LINESeedJP-Regular",248,0,0,0,0,2,0,0,1,1
36,"GBAAAA+LINESeedJP-Regular",244,0,0,0,0,5,0,0,1,1
35,"FBAAAA+LINESeedJP-Regular",240,0,0,0,0,1,0,0,2,1
34,"EBAAAA+LINESeedJP-Regular",236,0,0,0,0,1,0,0,0,1
33,"DBAAAA+LINESeedJP-Regular",232,0,0,0,0,5,0,0,3,1
32,"CBAAAA+LINESeedJP-Regular",228,0,0,0,0,2,0,0,0,1
31,"BBAAAA+LINESeedJP-Regular",224,0,0,0,0,2,0,0,0,1
30,"ABAAAA+LINESeedJP-Regular",220,0,0,0,0,4,0,0,1,1
29,"ZAAAAA+LINESeedJP-Regular",216,0,0,0,0,1,0,0,0,1
28,"YAAAAA+LINESeedJP-Regular",212,0,0,0,0,1,1,0,0,1
27,"XAAAAA+LINESeedJP-Regular",208,0,0,0,0,1,0,0,0,1
26,"WAAAAA+LINESeedJP-Regular",204,0,0,0,0,2,0,0,1,1
25,"VAAAAA+LINESeedJP-Regular",200,0,0,0,0,7,0,0,0,1
24,"UAAAAA+LINESeedJP-Regular",196,0,0,0,0,1,0,0,0,1
23,"TAAAAA+LINESeedJP-Regular",192,0,0,0,0,5,0,0,1,1
22,"SAAAAA+LINESeedJP-Regular",188,0,0,0,0,3,1,0,1,1
21,"RAAAAA+LINESeedJP-Regular",184,0,0,0,0,0,0,0,1,1
20,"QAAAAA+LINESeedJP-Regular",180,0,0,0,0,5,0,0,0,1
19,"PAAAAA+LINESeedJP-Regular",176,0,0,0,0,1,0,0,3,2
18,"OAAAAA+LINESeedJP-Regular",172,0,0,0,0,2,0,0,3,1
17,"NAAAAA+LINESeedJP-Regular",168,0,0,0,0,0,0,0,0,2
16,"MAAAAA+LINESeedJP-Regular",164,0,0,0,0,0,0,0,0,2
15,"LAAAAA+LINESeedJP-Regular",160,0,0,0,0,2,0,0,1,2
14,"KAAAAA+LINESeedJP-Regular",156,0,0,0,0,3,0,0,0,3
13,"JAAAAA+LINESeedJP-Regular",152,0,0,0,0,5,0,0,1,1
12,"IAAAAA+LINESeedJP-Regular",148,0,0,0,0,2,1,0,2,1
11,"HAAAAA+LINESeedJP-Regular",144,0,0,0,0,1,0,0,0,2
10,"GAAAAA+LINESeedJP-Regular",140,0,0,0,0,2,0,0,4,2
9,"FAAAAA+LINESeedJP-Regular",136,0,0,0,0,4,0,0,7,3
8,"EAAAAA+LINESeedJP-Regular",132,0,0,0,0,2,0,0,0,2
7,"DAAAAA+LINESeedJP-Regular",128,0,0,0,0,2,1,0,2,1
6,"CAAAAA+LINESeedJP-Regular",124,0,0,0,0,4,0,0,3,4
5,"BAAAAA+LINESeedJP-Regular",120,0,0,0,0,0,0,0,0,60
4,"AAAAAA+LINESeedJP-Regular",116,0,0,0,0,0,0,0,0,5
