フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
86,"Unknown",442,1,0,0,0,0,0,0,0,1
85,"ADAAAA+LINESeedJP-Regular",439,0,0,0,0,8,0,0,2,1
84,"ZCAAAA+LINESeedJP-Regular",435,0,0,0,0,1,0,0,0,1
83,"YCAAAA+LINESeedJP-Regular",431,0,0,0,0,3,0,0,0,1
82,"XCAAAA+LINESeedJP-Regular",427,0,0,0,0,1,0,0,0,1
81,"WCAAAA+LINESeedJP-Regular",423,0,0,0,0,3,0,0,0,1
80,"VCAAAA+LINESeedJP-Regular",419,0,0,0,0,2,0,0,0,1
79,"UCAAAA+LINESeedJP-Regular",415,0,0,0,0,2,0,0,0,1
78,"TCAAAA+LINESeedJP-Regular",411,0,0,0,0,1,0,0,0,1
77,"Unknown",407,1,0,0,0,0,0,0,0,1
76,"SCAAAA+LINESeedJP-Regular",404,0,0,0,0,1,0,0,0,1
75,"RCAAAA+LINESeedJP-Regular",400,0,0,0,0,1,0,0,1,1
74,"QCAAAA+LINESeedJP-Regular",396,0,0,0,0,1,0,0,0,1
73,"PCAAAA+LINESeedJP-Regular",392,0,0,0,0,0,0,0,1,2
72,"OCAAAA+LINESeedJP-Regular",388,0,0,0,0,3,0,0,0,1
71,"NCAAAA+LINESeedJP-Regular",384,0,0,0,0,1,0,0,1,1
70,"MCAAAA+LINESeedJP-Regular",380,0,0,0,0,1,0,0,0,1
69,"LCAAAA+LINESeedJP-Regular",376,0,0,0,0,2,0,0,0,1
68,"KCAAAA+LINESeedJP-Regular",372,0,0,0,0,2,0,0,0,1
67,"JCAAAA+LINESeedJP-Regular",368,0,0,0,0,3,0,0,0,1
66,"ICAAAA+LINESeedJP-Regular",364,0,0,0,0,1,0,0,0,1
65,"HCAAAA+LINESeedJP-Regular",360,0,0,0,0,1,0,0,0,1
64,"GCAAAA+LINESeedJP-Regular",356,0,0,0,0,1,0,0,0,1
63,"Unknown",352,1,0,0,0,0,0,0,0,1
62,"FCAAAA+LINESeedJP-Regular",349,0,0,0,0,4,0,0,0,1
61,"Unknown",345,1,0,0,0,0,0,0,0,1
60,"ECAAAA+LINESeedJP-Regular",342,0,0,0,0,2,0,0,0,1
59,"DCAAAA+LINESeedJP-Regular",338,0,0,0,0,2,0,0,0,1
58,"CCAAAA+LINESeedJP-Regular",334,0,0,0,0,1,0,0,0,1
57,"BCAAAA+LINESeedJP-Regular",330,0,0,0,0,6,0,0,0,1
56,"ACAAAA+LINESeedJP-Regular",326,0,0,0,0,1,0,0,1,1
55,"ZBAAAA+LINESeedJP-Regular",322,0,0,0,0,2,0,0,0,1
54,"YBAAAA+LINESeedJP-Regular",318,0,0,0,0,1,0,0,0,1
53,"XBAAAA+LINESeedJP-Regular",314,0,0,0,0,3,0,0,0,2
52,"WBAAAA+LINESeedJP-Regular",310,0,0,0,0,3,0,0,0,1
51,"VBAAAA+LINESeedJP-Regular",306,0,0,0,0,0,0,0,1,1
50,"UBAAAA+LINESeedJP-Regular",302,0,0,0,0,4,0,0,0,1
49,"TBAAAA+LINESeedJP-Regular",298,0,0,0,0,3,0,0,0,1
48,"SBAAAA+LINESeedJP-Regular",294,0,0,0,0,2,0,0,0,1
47,"RBAAAA+LINESeedJP-Regular",290,0,0,0,0,0,0,0,2,1
46,"QBAAAA+LINESeedJP-Regular",286,0,0,0,0,2,0,0,0,1
45,"PBAAAA+LINESeedJP-Regular",282,0,0,0,0,3,0,0,0,1
44,"OBAAAA+LINESeedJP-Regular",278,0,0,0,0,3,0,0,0,2
43,"NBAAAA+LINESeedJP-Regular",274,0,0,0,0,1,0,0,0,1
42,"MBAAAA+LINESeedJP-Regular",270,0,0,0,0,1,0,0,0,1
41,"LBAAAA+LINESeedJP-Regular",266,0,0,0,0,1,0,0,0,1
40,"Unknown",261,1,0,0,0,0,0,0,0,1
39,"JBAAAA+LINESeedJP-Regular",258,0,0,0,0,2,0,0,0,1
38,"IBAAAA+LINESeedJP-Regular",254,0,0,0,0,2,0,0,0,1
37,"HBAAAA+LINESeedJP-Regular",250,0,0,0,0,2,0,0,1,1
36,"GBAAAA+LINESeedJP-Regular",246,0,0,0,0,5,0,0,1,1
35,"FBAAAA+LINESeedJP-Regular",242,0,0,0,0,1,0,0,2,1
34,"EBAAAA+LINESeedJP-Regular",238,0,0,0,0,1,0,0,0,1
33,"DBAAAA+LINESeedJP-Regular",234,0,0,0,0,5,0,0,3,1
32,"CBAAAA+LINESeedJP-Regular",230,0,0,0,0,2,0,0,0,1
31,"BBAAAA+LINESeedJP-Regular",226,0,0,0,0,2,0,0,0,1
30,"ABAAAA+LINESeedJP-Regular",222,0,0,0,0,4,0,0,1,1
29,"ZAAAAA+LINESeedJP-Regular",218,0,0,0,0,1,0,0,0,1
28,"YAAAAA+LINESeedJP-Regular",214,0,0,0,0,1,1,0,0,1
27,"XAAAAA+LINESeedJP-Regular",210,0,0,0,0,1,0,0,0,1
26,"WAAAAA+LINESeedJP-Regular",206,0,0,0,0,2,0,0,1,1
25,"VAAAAA+LINESeedJP-Regular",202,0,0,0,0,7,0,0,0,1
24,"UAAAAA+LINESeedJP-Regular",198,0,0,0,0,1,0,0,0,1
23,"TAAAAA+LINESeedJP-Regular",194,0,0,0,0,5,0,0,1,1
22,"SAAAAA+LINESeedJP-Regular",190,0,0,0,0,3,1,0,1,1
21,"RAAAAA+LINESeedJP-Regular",186,0,0,0,0,0,0,0,1,1
20,"QAAAAA+LINESeedJP-Regular",182,0,0,0,0,5,0,0,0,1
19,"PAAAAA+LINESeedJP-Regular",178,0,0,0,0,1,0,0,3,2
18,"OAAAAA+LINESeedJP-Regular",174,0,0,0,0,2,0,0,3,1
17,"NAAAAA+LINESeedJP-Regular",170,0,0,0,0,0,0,0,0,2
16,"MAAAAA+LINESeedJP-Regular",166,0,0,0,0,0,0,0,0,2
15,"LAAAAA+LINESeedJP-Regular",162,0,0,0,0,2,0,0,1,2
14,"KAAAAA+LINESeedJP-Regular",158,0,0,0,0,3,0,0,0,3
13,"JAAAAA+LINESeedJP-Regular",154,0,0,0,0,5,0,0,1,1
12,"IAAAAA+LINESeedJP-Regular",150,0,0,0,0,2,1,0,2,1
11,"HAAAAA+LINESeedJP-Regular",146,0,0,0,0,1,0,0,0,2
10,"GAAAAA+LINESeedJP-Regular",142,0,0,0,0,2,0,0,4,2
9,"FAAAAA+LINESeedJP-Regular",138,0,0,0,0,4,0,0,7,3
8,"EAAAAA+LINESeedJP-Regular",134,0,0,0,0,2,0,0,0,2
7,"DAAAAA+LINESeedJP-Regular",130,0,0,0,0,2,1,0,2,1
6,"CAAAAA+LINESeedJP-Regular",126,0,0,0,0,4,0,0,3,4
5,"BAAAAA+LINESeedJP-Regular",122,0,0,0,0,0,0,0,0,60
4,"AAAAAA+LINESeedJP-Regular",118,0,0,0,0,0,0,0,0,5
