フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
86,"DDAAAA+MPLUS1p-Regular",458,0,17,0,0,0,0,0,0,11
85,"CDAAAA+MPLUS1p-Regular",454,0,0,0,0,8,0,0,2,1
84,"BDAAAA+MPLUS1p-Regular",450,0,0,0,0,1,0,0,0,1
83,"ADAAAA+MPLUS1p-Regular",446,0,0,0,0,3,0,0,0,1
82,"ZCAAAA+MPLUS1p-Regular",442,0,0,0,0,1,0,0,0,1
81,"YCAAAA+MPLUS1p-Regular",438,0,0,0,0,2,0,0,0,1
80,"XCAAAA+MPLUS1p-Regular",434,0,0,0,0,2,0,0,0,1
79,"WCAAAA+MPLUS1p-Regular",430,0,0,0,0,2,0,0,0,1
78,"VCAAAA+MPLUS1p-Regular",426,0,0,0,0,1,0,0,0,1
77,"UCAAAA+MPLUS1p-Regular",422,0,0,0,0,1,0,0,0,1
76,"TCAAAA+MPLUS1p-Regular",418,0,0,0,0,1,0,0,0,1
75,"SCAAAA+MPLUS1p-Regular",414,0,0,0,0,1,0,0,1,1
74,"RCAAAA+MPLUS1p-Regular",410,0,0,0,0,1,0,0,0,1
73,"QCAAAA+MPLUS1p-Regular",406,0,0,0,0,0,0,0,1,2
72,"PCAAAA+MPLUS1p-Regular",402,0,0,0,0,3,0,0,0,1
71,"OCAAAA+MPLUS1p-Regular",398,0,0,0,0,1,0,0,1,1
70,"NCAAAA+MPLUS1p-Regular",394,0,0,0,0,1,0,0,0,1
69,"MCAAAA+MPLUS1p-Regular",390,0,0,0,0,2,0,0,0,1
68,"LCAAAA+MPLUS1p-Regular",386,0,0,0,0,2,0,0,0,1
67,"KCAAAA+MPLUS1p-Regular",382,0,0,0,0,3,0,0,0,1
66,"JCAAAA+MPLUS1p-Regular",378,0,0,0,0,1,0,0,0,1
65,"ICAAAA+MPLUS1p-Regular",374,0,0,0,0,1,0,0,0,1
64,"HCAAAA+MPLUS1p-Regular",370,0,0,0,0,2,0,0,0,1
63,"GCAAAA+MPLUS1p-Regular",366,0,0,0,0,4,0,0,0,1
62,"FCAAAA+MPLUS1p-Regular",362,0,0,0,0,3,0,0,0,1
61,"ECAAAA+MPLUS1p-Regular",358,0,0,0,0,2,0,0,0,1
60,"DCAAAA+MPLUS1p-Regular",354,0,0,0,0,1,0,0,0,1
59,"CCAAAA+MPLUS1p-Regular",350,0,0,0,0,6,0,0,0,1
58,"BCAAAA+MPLUS1p-Regular",346,0,0,0,0,1,0,0,1,1
57,"ACAAAA+MPLUS1p-Regular",342,0,0,0,0,1,0,0,0,1
56,"ZBAAAA+MPLUS1p-Regular",338,0,0,0,0,2,0,0,0,1
55,"YBAAAA+MPLUS1p-Regular",334,0,0,0,0,1,0,0,0,1
54,"XBAAAA+MPLUS1p-Regular",330,0,0,0,0,3,0,0,0,2
53,"WBAAAA+MPLUS1p-Regular",326,0,0,0,0,3,0,0,0,1
52,"VBAAAA+MPLUS1p-Regular",322,0,0,0,0,0,0,0,1,1
51,"UBAAAA+MPLUS1p-Regular",318,0,0,0,0,4,0,0,0,1
50,"TBAAAA+MPLUS1p-Regular",314,0,0,0,0,3,0,0,0,1
49,"SBAAAA+MPLUS1p-Regular",310,0,0,0,0,2,0,0,0,1
48,"RBAAAA+MPLUS1p-Regular",306,0,0,0,0,0,0,0,2,1
47,"QBAAAA+MPLUS1p-Regular",302,0,0,0,0,2,0,0,0,1
46,"PBAAAA+MPLUS1p-Regular",298,0,0,0,0,3,0,0,0,1
45,"OBAAAA+MPLUS1p-Regular",294,0,0,0,0,3,0,0,0,2
44,"NBAAAA+MPLUS1p-Regular",290,0,0,0,0,1,0,0,0,1
43,"MBAAAA+MPLUS1p-Regular",286,0,0,0,0,1,0,0,0,1
42,"LBAAAA+MPLUS1p-Regular",282,0,0,0,0,1,0,0,0,1
41,"KBAAAA+Meiryo",278,3,40,0,0,0,0,0,1,12
40,"JBAAAA+MPLUS1p-Regular",274,0,0,0,0,2,0,0,0,1
39,"IBAAAA+MPLUS1p-Regular",270,0,0,0,0,5,0,0,0,1
38,"HBAAAA+MPLUS1p-Regular",266,0,0,0,0,2,0,0,0,1
37,"GBAAAA+MPLUS1p-Regular",262,0,0,0,0,2,0,0,1,1
36,"FBAAAA+MPLUS1p-Regular",258,0,0,0,0,5,0,0,1,1
35,"EBAAAA+MPLUS1p-Regular",254,0,0,0,0,1,0,0,2,1
34,"DBAAAA+MPLUS1p-Regular",250,0,0,0,0,1,0,0,0,1
33,"CBAAAA+MPLUS1p-Regular",246,0,0,0,0,2,0,0,0,1
32,"BBAAAA+MPLUS1p-Regular",242,0,0,0,0,2,0,0,0,1
31,"ABAAAA+MPLUS1p-Regular",238,0,0,0,0,4,0,0,1,1
30,"ZAAAAA+MPLUS1p-Regular",234,0,0,0,0,1,0,0,0,1
29,"YAAAAA+MPLUS1p-Regular",230,0,0,0,0,2,0,0,1,1
28,"XAAAAA+MPLUS1p-Regular",226,0,0,0,0,1,1,0,0,1
27,"WAAAAA+MPLUS1p-Regular",222,0,0,0,0,1,0,0,0,1
26,"VAAAAA+MPLUS1p-Regular",218,0,0,0,0,2,0,0,1,1
25,"UAAAAA+MPLUS1p-Regular",214,0,0,0,0,7,0,0,0,1
24,"TAAAAA+MPLUS1p-Regular",210,0,0,0,0,1,0,0,0,1
23,"SAAAAA+MPLUS1p-Regular",206,0,0,0,0,5,0,0,1,1
22,"RAAAAA+MPLUS1p-Regular",202,0,0,0,0,0,0,0,1,1
21,"QAAAAA+MPLUS1p-Regular",198,0,0,0,0,5,0,0,0,1
20,"PAAAAA+MPLUS1p-Regular",194,0,0,0,0,2,1,0,2,1
19,"OAAAAA+MPLUS1p-Regular",190,0,0,0,0,0,0,0,0,5
17,"NAAAAA+MPLUS1p-Regular",186,0,0,0,0,3,1,0,1,1
16,"MAAAAA+MPLUS1p-Regular",182,0,0,0,0,1,0,0,3,3
15,"LAAAAA+MPLUS1p-Regular",178,0,0,0,0,3,0,0,0,2
14,"KAAAAA+MPLUS1p-Regular",174,0,0,0,0,2,0,0,4,2
13,"JAAAAA+MPLUS1p-Regular",170,0,0,0,0,2,0,0,3,1
12,"IAAAAA+MPLUS1p-Regular",166,0,0,0,0,0,0,0,0,2
11,"HAAAAA+MPLUS1p-Regular",162,0,0,0,0,0,0,0,0,2
10,"GAAAAA+MPLUS1p-Regular",158,0,0,0,0,5,0,0,4,1
9,"FAAAAA+MPLUS1p-Regular",154,0,0,0,0,4,0,0,6,2
8,"EAAAAA+MPLUS1p-Regular",150,0,0,0,0,2,0,0,0,2
7,"DAAAAA+MPLUS1p-Regular",146,0,0,0,0,2,1,0,2,1
6,"CAAAAA+MPLUS1p-Regular",142,0,0,0,0,4,0,0,3,5
5,"BAAAAA+MPLUS1p-Regular",138,0,0,0,0,0,0,0,0,61
4,"AAAAAA+MPLUS1p-Regular",134,0,0,0,0,0,0,0,0,10
