フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
111,"Unknown",607,0,1,0,0,0,0,0,0,1
110,"Unknown",604,0,1,0,0,0,0,0,0,1
109,"Unknown",601,0,4,0,0,0,0,0,0,1
108,"Unknown",595,0,2,0,0,0,0,0,0,1
107,"Unknown",591,0,4,0,0,0,0,0,0,1
106,"Unknown",585,0,5,0,0,0,0,0,0,1
105,"Unknown",578,0,2,0,0,0,0,0,0,1
104,"Unknown",574,0,1,0,0,0,0,0,0,1
103,"Unknown",571,0,1,0,0,0,0,0,0,1
102,"Unknown",568,0,2,0,0,0,0,0,0,1
101,"Unknown",564,0,1,0,0,0,0,0,0,1
100,"Unknown",561,0,1,0,0,0,0,0,0,1
99,"Unknown",558,0,2,0,0,0,0,0,0,1
98,"Unknown",554,0,1,0,0,0,0,0,0,1
97,"Unknown",551,0,4,0,0,0,0,0,0,1
96,"Unknown",545,0,8,0,0,0,0,0,0,1
95,"Unknown",535,0,1,0,0,0,0,0,0,1
94,"Unknown",532,0,1,0,0,0,0,0,0,1
93,"Unknown",529,0,1,0,0,0,0,0,0,1
92,"Unknown",526,0,2,0,0,0,0,0,0,1
91,"Unknown",522,0,1,0,0,0,0,0,0,1
90,"Unknown",519,0,3,0,0,0,0,0,0,1
89,"Unknown",514,0,14,0,0,0,0,0,0,4
88,"DDAAAA+MPLUS1p-Regular",489,0,17,0,0,0,0,0,0,11
87,"Unknown",485,1,2,0,0,0,0,0,0,1
86,"CDAAAA+MPLUS1p-Regular",480,0,0,0,0,8,0,0,2,1
85,"BDAAAA+MPLUS1p-Regular",476,0,0,0,0,1,0,0,0,1
84,"ADAAAA+MPLUS1p-Regular",472,0,0,0,0,3,0,0,0,1
83,"ZCAAAA+MPLUS1p-Regular",468,0,0,0,0,1,0,0,0,1
82,"YCAAAA+MPLUS1p-Regular",464,0,0,0,0,2,0,0,0,1
81,"Unknown",460,1,0,0,0,0,0,0,0,1
80,"XCAAAA+MPLUS1p-Regular",457,0,0,0,0,2,0,0,0,1
79,"WCAAAA+MPLUS1p-Regular",453,0,0,0,0,2,0,0,0,1
78,"VCAAAA+MPLUS1p-Regular",449,0,0,0,0,1,0,0,0,1
77,"UCAAAA+MPLUS1p-Regular",445,0,0,0,0,1,0,0,0,1
76,"TCAAAA+MPLUS1p-Regular",441,0,0,0,0,1,0,0,0,1
75,"SCAAAA+MPLUS1p-Regular",437,0,0,0,0,1,0,0,1,1
74,"RCAAAA+MPLUS1p-Regular",433,0,0,0,0,1,0,0,0,1
73,"QCAAAA+MPLUS1p-Regular",429,0,0,0,0,0,0,0,1,2
72,"PCAAAA+MPLUS1p-Regular",425,0,0,0,0,3,0,0,0,1
71,"OCAAAA+MPLUS1p-Regular",421,0,0,0,0,1,0,0,1,1
70,"NCAAAA+MPLUS1p-Regular",417,0,0,0,0,1,0,0,0,1
69,"MCAAAA+MPLUS1p-Regular",413,0,0,0,0,2,0,0,0,1
68,"LCAAAA+MPLUS1p-Regular",409,0,0,0,0,2,0,0,0,1
67,"KCAAAA+MPLUS1p-Regular",405,0,0,0,0,3,0,0,0,1
66,"JCAAAA+MPLUS1p-Regular",401,0,0,0,0,1,0,0,0,1
65,"ICAAAA+MPLUS1p-Regular",397,0,0,0,0,1,0,0,0,1
64,"HCAAAA+MPLUS1p-Regular",393,0,0,0,0,2,0,0,0,1
63,"GCAAAA+MPLUS1p-Regular",389,0,0,0,0,4,0,0,0,1
62,"FCAAAA+MPLUS1p-Regular",385,0,0,0,0,3,0,0,0,1
61,"ECAAAA+MPLUS1p-Regular",381,0,0,0,0,2,0,0,0,1
60,"DCAAAA+MPLUS1p-Regular",377,0,0,0,0,1,0,0,0,1
59,"CCAAAA+MPLUS1p-Regular",373,0,0,0,0,6,0,0,0,1
58,"BCAAAA+MPLUS1p-Regular",369,0,0,0,0,1,0,0,1,1
57,"ACAAAA+MPLUS1p-Regular",365,0,0,0,0,1,0,0,0,1
56,"ZBAAAA+MPLUS1p-Regular",361,0,0,0,0,2,0,0,0,1
55,"YBAAAA+MPLUS1p-Regular",357,0,0,0,0,1,0,0,0,1
54,"XBAAAA+MPLUS1p-Regular",353,0,0,0,0,3,0,0,0,2
53,"WBAAAA+MPLUS1p-Regular",349,0,0,0,0,3,0,0,0,1
52,"VBAAAA+MPLUS1p-Regular",345,0,0,0,0,0,0,0,1,1
51,"UBAAAA+MPLUS1p-Regular",341,0,0,0,0,4,0,0,0,1
50,"TBAAAA+MPLUS1p-Regular",337,0,0,0,0,3,0,0,0,1
49,"SBAAAA+MPLUS1p-Regular",333,0,0,0,0,2,0,0,0,1
48,"RBAAAA+MPLUS1p-Regular",329,0,0,0,0,0,0,0,2,1
47,"QBAAAA+MPLUS1p-Regular",325,0,0,0,0,2,0,0,0,1
46,"PBAAAA+MPLUS1p-Regular",321,0,0,0,0,3,0,0,0,1
45,"OBAAAA+MPLUS1p-Regular",317,0,0,0,0,3,0,0,0,2
44,"NBAAAA+MPLUS1p-Regular",313,0,0,0,0,1,0,0,0,1
43,"MBAAAA+MPLUS1p-Regular",309,0,0,0,0,1,0,0,0,1
42,"LBAAAA+MPLUS1p-Regular",305,0,0,0,0,1,0,0,0,1
41,"Unknown",300,1,0,0,0,0,0,0,0,1
40,"JBAAAA+MPLUS1p-Regular",297,0,0,0,0,2,0,0,0,1
39,"IBAAAA+MPLUS1p-Regular",293,0,0,0,0,5,0,0,0,1
38,"HBAAAA+MPLUS1p-Regular",289,0,0,0,0,2,0,0,0,1
37,"GBAAAA+MPLUS1p-Regular",285,0,0,0,0,2,0,0,1,1
36,"FBAAAA+MPLUS1p-Regular",281,0,0,0,0,5,0,0,1,1
35,"EBAAAA+MPLUS1p-Regular",277,0,0,0,0,1,0,0,2,1
34,"DBAAAA+MPLUS1p-Regular",273,0,0,0,0,1,0,0,0,1
33,"CBAAAA+MPLUS1p-Regular",269,0,0,0,0,2,0,0,0,1
32,"BBAAAA+MPLUS1p-Regular",265,0,0,0,0,2,0,0,0,1
31,"ABAAAA+MPLUS1p-Regular",261,0,0,0,0,4,0,0,1,1
30,"ZAAAAA+MPLUS1p-Regular",257,0,0,0,0,1,0,0,0,1
29,"YAAAAA+MPLUS1p-Regular",253,0,0,0,0,2,0,0,1,1
28,"XAAAAA+MPLUS1p-Regular",249,0,0,0,0,1,1,0,0,1
27,"WAAAAA+MPLUS1p-Regular",245,0,0,0,0,1,0,0,0,1
26,"VAAAAA+MPLUS1p-Regular",241,0,0,0,0,2,0,0,1,1
25,"UAAAAA+MPLUS1p-Regular",237,0,0,0,0,7,0,0,0,1
24,"TAAAAA+MPLUS1p-Regular",233,0,0,0,0,1,0,0,0,1
23,"SAAAAA+MPLUS1p-Regular",229,0,0,0,0,5,0,0,1,1
22,"RAAAAA+MPLUS1p-Regular",225,0,0,0,0,0,0,0,1,1
21,"QAAAAA+MPLUS1p-Regular",221,0,0,0,0,5,0,0,0,1
20,"PAAAAA+MPLUS1p-Regular",217,0,0,0,0,2,1,0,2,1
19,"OAAAAA+MPLUS1p-Regular",213,0,0,0,0,0,0,0,0,5
17,"NAAAAA+MPLUS1p-Regular",209,0,0,0,0,3,1,0,1,1
16,"MAAAAA+MPLUS1p-Regular",205,0,0,0,0,1,0,0,3,3
15,"LAAAAA+MPLUS1p-Regular",201,0,0,0,0,3,0,0,0,2
14,"KAAAAA+MPLUS1p-Regular",197,0,0,0,0,2,0,0,4,2
13,"JAAAAA+MPLUS1p-Regular",193,0,0,0,0,2,0,0,3,1
12,"IAAAAA+MPLUS1p-Regular",189,0,0,0,0,0,0,0,0,2
11,"HAAAAA+MPLUS1p-Regular",185,0,0,0,0,0,0,0,0,2
10,"GAAAAA+MPLUS1p-Regular",181,0,0,0,0,5,0,0,4,1
9,"FAAAAA+MPLUS1p-Regular",177,0,0,0,0,4,0,0,6,2
8,"EAAAAA+MPLUS1p-Regular",173,0,0,0,0,2,0,0,0,2
