フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
83,"BDAAAA+MPLUS1p-Regular",433,0,0,0,0,8,0,0,2,1
82,"ADAAAA+MPLUS1p-Regular",429,0,0,0,0,1,0,0,0,1
81,"ZCAAAA+MPLUS1p-Regular",425,0,0,0,0,3,0,0,0,1
80,"YCAAAA+MPLUS1p-Regular",421,0,0,0,0,1,0,0,0,1
79,"XCAAAA+MPLUS1p-Regular",417,0,0,0,0,2,0,0,0,1
78,"WCAAAA+MPLUS1p-Regular",413,0,0,0,0,2,0,0,0,1
77,"VCAAAA+MPLUS1p-Regular",409,0,0,0,0,2,0,0,0,1
76,"UCAAAA+MPLUS1p-Regular",405,0,0,0,0,1,0,0,0,1
75,"TCAAAA+MPLUS1p-Regular",401,0,0,0,0,1,0,0,0,1
74,"SCAAAA+MPLUS1p-Regular",397,0,0,0,0,1,0,0,0,1
73,"RCAAAA+MPLUS1p-Regular",393,0,0,0,0,1,0,0,1,1
72,"QCAAAA+MPLUS1p-Regular",389,0,0,0,0,1,0,0,0,1
71,"PCAAAA+MPLUS1p-Regular",385,0,0,0,0,0,0,0,1,2
70,"OCAAAA+MPLUS1p-Regular",381,0,0,0,0,3,0,0,0,1
69,"NCAAAA+MPLUS1p-Regular",377,0,0,0,0,1,0,0,1,1
68,"MCAAAA+MPLUS1p-Regular",373,0,0,0,0,1,0,0,0,1
67,"LCAAAA+MPLUS1p-Regular",369,0,0,0,0,2,0,0,0,1
66,"KCAAAA+MPLUS1p-Regular",365,0,0,0,0,2,0,0,0,1
65,"JCAAAA+MPLUS1p-Regular",361,0,0,0,0,3,0,0,0,1
64,"ICAAAA+MPLUS1p-Regular",357,0,0,0,0,1,0,0,0,1
63,"HCAAAA+MPLUS1p-Regular",353,0,0,0,0,1,0,0,0,1
62,"GCAAAA+MPLUS1p-Regular",349,0,0,0,0,2,0,0,0,1
61,"FCAAAA+MPLUS1p-Regular",345,0,0,0,0,4,0,0,0,1
60,"ECAAAA+MPLUS1p-Regular",341,0,0,0,0,3,0,0,0,1
59,"DCAAAA+MPLUS1p-Regular",337,0,0,0,0,2,0,0,0,1
58,"CCAAAA+MPLUS1p-Regular",333,0,0,0,0,1,0,0,0,1
57,"BCAAAA+MPLUS1p-Regular",329,0,0,0,0,6,0,0,0,1
56,"ACAAAA+MPLUS1p-Regular",325,0,0,0,0,1,0,0,1,1
55,"ZBAAAA+MPLUS1p-Regular",321,0,0,0,0,2,0,0,0,1
54,"YBAAAA+MPLUS1p-Regular",317,0,0,0,0,1,0,0,0,1
53,"XBAAAA+MPLUS1p-Regular",313,0,0,0,0,3,0,0,0,2
52,"WBAAAA+MPLUS1p-Regular",309,0,0,0,0,3,0,0,0,1
51,"VBAAAA+MPLUS1p-Regular",305,0,0,0,0,0,0,0,1,1
50,"UBAAAA+MPLUS1p-Regular",301,0,0,0,0,4,0,0,0,1
49,"TBAAAA+MPLUS1p-Regular",297,0,0,0,0,3,0,0,0,1
48,"SBAAAA+MPLUS1p-Regular",293,0,0,0,0,2,0,0,0,1
47,"RBAAAA+MPLUS1p-Regular",289,0,0,0,0,0,0,0,2,1
46,"QBAAAA+MPLUS1p-Regular",285,0,0,0,0,2,0,0,0,1
45,"PBAAAA+MPLUS1p-Regular",281,0,0,0,0,3,0,0,0,1
44,"OBAAAA+MPLUS1p-Regular",277,0,0,0,0,3,0,0,0,2
43,"NBAAAA+MPLUS1p-Regular",273,0,0,0,0,1,0,0,0,1
42,"MBAAAA+MPLUS1p-Regular",269,0,0,0,0,1,0,0,0,1
