フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
87,"Unknown",1055,1,0,0,0,0,0,0,0,3
86,"Unknown",858,1,60,0,0,0,0,0,0,25
85,"Unknown",721,0,0,0,0,9,0,0,2,1
84,"Unknown",707,0,0,0,0,1,0,0,0,1
83,"Unknown",703,0,0,0,0,3,0,0,0,1
82,"Unknown",697,0,0,0,0,1,0,0,0,1
81,"Unknown",693,0,0,0,0,3,0,0,0,1
80,"Unknown",687,0,0,0,0,2,0,0,0,1
79,"Unknown",682,0,0,0,0,2,0,0,0,1
78,"Unknown",677,0,0,0,0,1,0,0,0,1
77,"Unknown",673,0,0,0,0,1,0,0,0,1
76,"Unknown",669,0,0,0,0,1,0,0,0,1
75,"Unknown",665,0,0,0,0,1,0,0,1,1
74,"Unknown",660,0,0,0,0,1,0,0,0,1
73,"Unknown",656,0,0,0,0,0,0,0,1,2
72,"Unknown",651,0,0,0,0,3,0,0,0,1
71,"Unknown",645,0,0,0,0,1,0,0,1,1
70,"Unknown",640,0,0,0,0,1,0,0,0,1
69,"Unknown",636,0,0,0,0,2,0,0,0,1
68,"Unknown",631,0,0,0,0,2,0,0,0,1
67,"Unknown",626,0,0,0,0,3,0,0,0,1
66,"Unknown",620,0,0,0,0,1,0,0,0,1
65,"Unknown",616,0,0,0,0,1,0,0,0,1
64,"Unknown",612,0,0,0,0,2,0,0,0,1
63,"Unknown",607,0,0,0,0,4,0,0,0,1
62,"Unknown",600,0,0,0,0,3,0,0,0,1
61,"Unknown",594,0,0,0,0,2,0,0,0,1
60,"Unknown",589,0,0,0,0,1,0,0,0,1
59,"Unknown",585,0,0,0,0,6,0,0,0,1
58,"Unknown",576,0,0,0,0,1,0,0,1,1
57,"Unknown",571,0,0,0,0,1,0,0,0,1
56,"Unknown",567,0,0,0,0,2,0,0,0,1
55,"Unknown",562,0,0,0,0,1,0,0,0,1
54,"Unknown",558,0,0,0,0,3,0,0,0,2
53,"Unknown",551,0,0,0,0,3,0,0,0,1
52,"Unknown",545,0,0,0,0,0,0,0,1,1
51,"Unknown",541,0,0,0,0,4,0,0,0,1
50,"Unknown",534,0,0,0,0,3,0,0,0,1
49,"Unknown",528,0,0,0,0,2,0,0,0,1
48,"Unknown",523,0,0,0,0,0,0,0,2,1
47,"Unknown",518,0,0,0,0,2,0,0,0,1
46,"Unknown",513,0,0,0,0,3,0,0,0,1
45,"Unknown",507,0,0,0,0,3,0,0,0,2
44,"Unknown",500,0,0,0,0,1,0,0,0,1
43,"Unknown",496,0,0,0,0,1,0,0,0,1
42,"Unknown",492,0,0,0,0,1,0,0,0,1
41,"Unknown",488,0,0,0,0,2,0,0,0,1
40,"Unknown",483,0,0,0,0,5,0,0,0,1
39,"Unknown",475,0,0,0,0,2,0,0,0,1
38,"Unknown",470,0,0,0,0,2,0,0,1,1
37,"Unknown",464,0,0,0,0,6,0,0,1,1
36,"Unknown",454,0,0,0,0,1,0,0,2,1
35,"Unknown",448,0,0,0,0,1,0,0,0,1
34,"Unknown",444,0,0,0,0,2,0,0,0,1
33,"Unknown",439,0,0,0,0,2,0,0,0,1
32,"Unknown",434,0,0,0,0,4,0,0,1,1
31,"Unknown",426,0,0,0,0,1,0,0,0,1
30,"Unknown",422,0,0,0,0,2,0,0,1,1
29,"Unknown",416,0,0,0,0,1,1,0,0,1
28,"Unknown",411,0,0,0,0,1,0,0,0,1
27,"Unknown",407,0,0,0,0,2,0,0,1,1
26,"Unknown",401,0,0,0,0,7,0,0,0,1
25,"Unknown",391,0,0,0,0,1,0,0,0,1
24,"Unknown",387,0,0,0,0,5,0,0,1,1
23,"Unknown",378,0,0,0,0,0,0,0,1,1
22,"Unknown",374,0,0,0,0,5,0,0,0,1
21,"Unknown",366,0,0,0,0,2,1,0,2,1
20,"Unknown",358,1,0,0,0,0,0,0,0,1
19,"Unknown",354,0,0,0,0,0,0,0,0,2
17,"Unknown",350,0,0,0,0,3,1,0,1,1
16,"Unknown",342,0,0,0,0,1,0,0,3,3
15,"Unknown",333,0,0,0,0,3,0,0,0,2
14,"Unknown",326,0,0,0,0,2,0,0,4,2
13,"Unknown",316,0,0,0,0,2,0,0,3,1
12,"Unknown",308,0,0,0,0,0,0,0,0,2
11,"Unknown",304,0,0,0,0,0,0,0,0,2
10,"Unknown",300,0,0,0,0,5,0,0,4,1
9,"Unknown",288,0,0,0,0,4,0,0,6,2
8,"Unknown",274,0,0,0,0,2,0,0,0,2
7,"Unknown",268,0,0,0,0,2,1,0,2,1
6,"Unknown",260,0,0,0,0,4,0,0,3,5
5,"Unknown",246,0,0,0,0,0,0,0,0,61
4,"Unknown",144,0,0,0,0,0,0,0,0,9
