フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
82,"Unknown",692,0,0,0,0,9,0,0,2,1
81,"Unknown",678,0,0,0,0,1,0,0,0,1
80,"Unknown",674,0,0,0,0,3,0,0,0,1
79,"Unknown",668,0,0,0,0,1,0,0,0,1
78,"Unknown",664,0,0,0,0,3,0,0,0,1
77,"Unknown",658,0,0,0,0,2,0,0,0,1
76,"Unknown",653,0,0,0,0,2,0,0,0,1
75,"Unknown",648,0,0,0,0,1,0,0,0,1
74,"Unknown",644,0,0,0,0,1,0,0,0,1
73,"Unknown",640,0,0,0,0,1,0,0,0,1
72,"Unknown",636,0,0,0,0,1,0,0,1,1
71,"Unknown",631,0,0,0,0,1,0,0,0,1
70,"Unknown",627,0,0,0,0,0,0,0,1,2
69,"Unknown",622,0,0,0,0,3,0,0,0,1
68,"Unknown",616,0,0,0,0,1,0,0,1,1
67,"Unknown",611,0,0,0,0,1,0,0,0,1
66,"Unknown",607,0,0,0,0,2,0,0,0,1
65,"Unknown",602,0,0,0,0,2,0,0,0,1
64,"Unknown",597,0,0,0,0,3,0,0,0,1
63,"Unknown",591,0,0,0,0,1,0,0,0,1
62,"Unknown",587,0,0,0,0,1,0,0,0,1
61,"Unknown",583,0,0,0,0,2,0,0,0,1
60,"Unknown",578,0,0,0,0,4,0,0,0,1
59,"Unknown",571,0,0,0,0,3,0,0,0,1
58,"Unknown",565,0,0,0,0,2,0,0,0,1
57,"Unknown",560,0,0,0,0,1,0,0,0,1
56,"Unknown",556,0,0,0,0,6,0,0,0,1
55,"Unknown",547,0,0,0,0,1,0,0,1,1
54,"Unknown",542,0,0,0,0,2,0,0,0,1
53,"Unknown",537,0,0,0,0,1,0,0,0,1
52,"Unknown",533,0,0,0,0,3,0,0,0,2
51,"Unknown",526,0,0,0,0,3,0,0,0,1
50,"Unknown",520,0,0,0,0,0,0,0,1,1
49,"Unknown",516,0,0,0,0,4,0,0,0,1
48,"Unknown",509,0,0,0,0,3,0,0,0,1
47,"Unknown",503,0,0,0,0,2,0,0,0,1
46,"Unknown",498,0,0,0,0,0,0,0,2,1
45,"Unknown",493,0,0,0,0,2,0,0,0,1
44,"Unknown",488,0,0,0,0,3,0,0,0,1
43,"Unknown",482,0,0,0,0,3,0,0,0,2
42,"Unknown",475,0,0,0,0,1,0,0,0,1
41,"Unknown",471,0,0,0,0,1,0,0,0,1
40,"Unknown",467,0,0,0,0,1,0,0,0,1
39,"Unknown",463,0,0,0,0,2,0,0,0,1
38,"Unknown",458,0,0,0,0,2,0,0,0,1
37,"Unknown",453,0,0,0,0,2,0,0,1,1
36,"Unknown",447,0,0,0,0,6,0,0,1,1
35,"Unknown",437,0,0,0,0,1,0,0,2,1
34,"Unknown",431,0,0,0,0,1,0,0,0,1
33,"Unknown",427,0,0,0,0,5,0,0,3,1
32,"Unknown",416,0,0,0,0,2,0,0,0,1
31,"Unknown",411,0,0,0,0,2,0,0,0,1
30,"Unknown",406,0,0,0,0,4,0,0,1,1
29,"Unknown",398,0,0,0,0,1,0,0,0,1
28,"Unknown",394,0,0,0,0,1,1,0,0,1
27,"Unknown",389,0,0,0,0,1,0,0,0,1
26,"Unknown",385,0,0,0,0,2,0,0,1,1
25,"Unknown",379,0,0,0,0,7,0,0,0,1
24,"Unknown",369,0,0,0,0,1,0,0,0,1
23,"Unknown",365,0,0,0,0,5,0,0,1,1
22,"Unknown",356,0,0,0,0,3,1,0,1,1
21,"Unknown",348,0,0,0,0,0,0,0,1,1
20,"Unknown",344,0,0,0,0,5,0,0,0,1
19,"Unknown",336,0,0,0,0,1,0,0,3,2
18,"Unknown",328,0,0,0,0,2,0,0,3,1
17,"Unknown",320,0,0,0,0,0,0,0,0,2
16,"Unknown",316,0,0,0,0,0,0,0,0,2
15,"Unknown",312,0,0,0,0,2,0,0,1,2
14,"Unknown",305,0,0,0,0,3,0,0,0,3
13,"Unknown",297,0,0,0,0,5,0,0,1,1
12,"Unknown",288,0,0,0,0,2,1,0,2,1
11,"Unknown",280,0,0,0,0,1,0,0,0,2
10,"Unknown",275,0,0,0,0,2,0,0,4,2
9,"Unknown",265,0,0,0,0,4,0,0,7,3
8,"Unknown",249,0,0,0,0,2,0,0,0,2
7,"Unknown",243,0,0,0,0,2,1,0,2,1
6,"Unknown",235,0,0,0,0,4,0,0,3,4
5,"Unknown",222,0,0,0,0,0,0,0,0,60
4,"Unknown",120,0,0,0,0,0,0,0,0,5
