フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
82,"Unknown",690,0,0,0,0,9,0,0,2,1
81,"Unknown",676,0,0,0,0,1,0,0,0,1
80,"Unknown",672,0,0,0,0,3,0,0,0,1
79,"Unknown",666,0,0,0,0,1,0,0,0,1
78,"Unknown",662,0,0,0,0,3,0,0,0,1
77,"Unknown",656,0,0,0,0,2,0,0,0,1
76,"Unknown",651,0,0,0,0,2,0,0,0,1
75,"Unknown",646,0,0,0,0,1,0,0,0,1
74,"Unknown",642,0,0,0,0,1,0,0,0,1
73,"Unknown",638,0,0,0,0,1,0,0,0,1
72,"Unknown",634,0,0,0,0,1,0,0,1,1
71,"Unknown",629,0,0,0,0,1,0,0,0,1
70,"Unknown",625,0,0,0,0,0,0,0,1,2
69,"Unknown",620,0,0,0,0,3,0,0,0,1
68,"Unknown",614,0,0,0,0,1,0,0,1,1
67,"Unknown",609,0,0,0,0,1,0,0,0,1
66,"Unknown",605,0,0,0,0,2,0,0,0,1
65,"Unknown",600,0,0,0,0,2,0,0,0,1
64,"Unknown",595,0,0,0,0,3,0,0,0,1
63,"Unknown",589,0,0,0,0,1,0,0,0,1
62,"Unknown",585,0,0,0,0,1,0,0,0,1
61,"Unknown",581,0,0,0,0,2,0,0,0,1
60,"Unknown",576,0,0,0,0,4,0,0,0,1
59,"Unknown",569,0,0,0,0,3,0,0,0,1
58,"Unknown",563,0,0,0,0,2,0,0,0,1
57,"Unknown",558,0,0,0,0,1,0,0,0,1
56,"Unknown",554,0,0,0,0,6,0,0,0,1
55,"Unknown",545,0,0,0,0,1,0,0,1,1
54,"Unknown",540,0,0,0,0,2,0,0,0,1
53,"Unknown",535,0,0,0,0,1,0,0,0,1
52,"Unknown",531,0,0,0,0,3,0,0,0,2
51,"Unknown",524,0,0,0,0,3,0,0,0,1
50,"Unknown",518,0,0,0,0,0,0,0,1,1
49,"Unknown",514,0,0,0,0,4,0,0,0,1
48,"Unknown",507,0,0,0,0,3,0,0,0,1
47,"Unknown",501,0,0,0,0,2,0,0,0,1
46,"Unknown",496,0,0,0,0,0,0,0,2,1
45,"Unknown",491,0,0,0,0,2,0,0,0,1
44,"Unknown",486,0,0,0,0,3,0,0,0,1
43,"Unknown",480,0,0,0,0,3,0,0,0,2
42,"Unknown",473,0,0,0,0,1,0,0,0,1
41,"Unknown",469,0,0,0,0,1,0,0,0,1
40,"Unknown",465,0,0,0,0,1,0,0,0,1
39,"Unknown",461,0,0,0,0,2,0,0,0,1
38,"Unknown",456,0,0,0,0,2,0,0,0,1
37,"Unknown",451,0,0,0,0,2,0,0,1,1
36,"Unknown",445,0,0,0,0,6,0,0,1,1
35,"Unknown",435,0,0,0,0,1,0,0,2,1
34,"Unknown",429,0,0,0,0,1,0,0,0,1
33,"Unknown",425,0,0,0,0,5,0,0,3,1
32,"Unknown",414,0,0,0,0,2,0,0,0,1
31,"Unknown",409,0,0,0,0,2,0,0,0,1
30,"Unknown",404,0,0,0,0,4,0,0,1,1
29,"Unknown",396,0,0,0,0,1,0,0,0,1
28,"Unknown",392,0,0,0,0,1,1,0,0,1
27,"Unknown",387,0,0,0,0,1,0,0,0,1
26,"Unknown",383,0,0,0,0,2,0,0,1,1
25,"Unknown",377,0,0,0,0,7,0,0,0,1
24,"Unknown",367,0,0,0,0,1,0,0,0,1
23,"Unknown",363,0,0,0,0,5,0,0,1,1
22,"Unknown",354,0,0,0,0,3,1,0,1,1
21,"Unknown",346,0,0,0,0,0,0,0,1,1
20,"Unknown",342,0,0,0,0,5,0,0,0,1
19,"Unknown",334,0,0,0,0,1,0,0,3,2
18,"Unknown",326,0,0,0,0,2,0,0,3,1
17,"Unknown",318,0,0,0,0,0,0,0,0,2
16,"Unknown",314,0,0,0,0,0,0,0,0,2
15,"Unknown",310,0,0,0,0,2,0,0,1,2
14,"Unknown",303,0,0,0,0,3,0,0,0,3
13,"Unknown",295,0,0,0,0,5,0,0,1,1
12,"Unknown",286,0,0,0,0,2,1,0,2,1
11,"Unknown",278,0,0,0,0,1,0,0,0,2
10,"Unknown",273,0,0,0,0,2,0,0,4,2
9,"Unknown",263,0,0,0,0,4,0,0,7,3
8,"Unknown",247,0,0,0,0,2,0,0,0,2
7,"Unknown",241,0,0,0,0,2,1,0,2,1
6,"Unknown",233,0,0,0,0,4,0,0,3,4
5,"Unknown",220,0,0,0,0,0,0,0,0,60
4,"Unknown",118,0,0,0,0,0,0,0,0,5
