フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
86,"QMCLVI+BIZUDPGothic-Regular",565,0,0,0,0,9,0,0,2,1
85,"VIHCJV+BIZUDPGothic-Regular",559,0,0,0,0,1,0,0,0,1
84,"BOEMOG+BIZUDPGothic-Regular",553,0,0,0,0,3,0,0,0,1
83,"SWNEQN+BIZUDPGothic-Regular",547,0,0,0,0,1,0,0,0,1
82,"PHKYDQ+BIZUDPGothic-Regular",541,0,0,0,0,3,0,0,0,1
81,"IQAIOA+BIZUDPGothic-Regular",535,0,0,0,0,2,0,0,0,1
80,"KBZIZO+BIZUDPGothic-Regular",529,0,0,0,0,2,0,0,0,1
79,"XEIANM+BIZUDPGothic-Regular",523,0,0,0,0,1,0,0,0,1
78,"FMGIGI+BIZUDPGothic-Regular",517,0,0,0,0,1,0,0,0,1
77,"QJNRPD+BIZUDPGothic-Regular",511,0,0,0,0,1,0,0,0,1
76,"FCPMCB+BIZUDPGothic-Regular",505,0,0,0,0,1,0,0,1,1
75,"WEHXYN+BIZUDPGothic-Regular",499,0,0,0,0,1,0,0,0,1
74,"TEITHS+BIZUDPGothic-Regular",493,0,0,0,0,0,0,0,1,2
73,"QVCRBM+BIZUDPGothic-Regular",487,0,0,0,0,3,0,0,0,1
72,"DFJEEI+BIZUDPGothic-Regular",481,0,0,0,0,1,0,0,1,1
71,"JJFMLV+BIZUDPGothic-Regular",475,0,0,0,0,1,0,0,0,1
70,"KXBHUE+BIZUDPGothic-Regular",469,0,0,0,0,2,0,0,0,1
69,"UZMZNY+BIZUDPGothic-Regular",463,0,0,0,0,2,0,0,0,1
68,"IOOJHF+BIZUDPGothic-Regular",457,0,0,0,0,3,0,0,0,1
67,"KFPCYG+BIZUDPGothic-Regular",451,0,0,0,0,1,0,0,0,1
66,"ZEBESV+BIZUDPGothic-Regular",445,0,0,0,0,1,0,0,0,1
65,"FZZLQT+BIZUDPGothic-Regular",439,0,0,0,0,2,0,0,0,1
64,"CXPKFC+BIZUDPGothic-Regular",433,0,0,0,0,4,0,0,0,1
63,"HFOVOT+BIZUDPGothic-Regular",427,0,0,0,0,3,0,0,0,1
62,"ECWHXU+BIZUDPGothic-Regular",421,0,0,0,0,2,0,0,0,1
61,"DEBZHL+BIZUDPGothic-Regular",415,0,0,0,0,1,0,0,0,1
60,"MUOZSS+BIZUDPGothic-Regular",409,0,0,0,0,6,0,0,0,1
59,"SBDPUP+BIZUDPGothic-Regular",403,0,0,0,0,1,0,0,1,1
58,"DCLOBQ+BIZUDPGothic-Regular",397,0,0,0,0,2,0,0,0,1
57,"TIZFJW+BIZUDPGothic-Regular",391,0,0,0,0,1,0,0,0,1
56,"KTDTHF+BIZUDPGothic-Regular",385,0,0,0,0,3,0,0,0,2
55,"TPKXXE+BIZUDPGothic-Regular",379,0,0,0,0,3,0,0,0,1
54,"MLGUNP+BIZUDPGothic-Regular",373,0,0,0,0,0,0,0,1,1
53,"OHDNHV+BIZUDPGothic-Regular",367,0,0,0,0,4,0,0,0,1
52,"KUPQUA+BIZUDPGothic-Regular",361,0,0,0,0,3,0,0,0,1
51,"MLJXLP+BIZUDPGothic-Regular",355,0,0,0,0,2,0,0,0,1
50,"RZCJMC+BIZUDPGothic-Regular",349,0,0,0,0,0,0,0,2,1
49,"RCPEFE+BIZUDPGothic-Regular",343,0,0,0,0,2,0,0,0,1
48,"MOJUKG+BIZUDPGothic-Regular",337,0,0,0,0,3,0,0,0,1
47,"IIBRNC+BIZUDPGothic-Regular",331,0,0,0,0,3,0,0,0,2
46,"ZPFYXS+BIZUDPGothic-Regular",325,0,0,0,0,1,0,0,0,1
45,"CVWMDU+BIZUDPGothic-Regular",319,0,0,0,0,1,0,0,0,1
44,"XHNBDC+BIZUDPGothic-Regular",313,0,0,0,0,1,0,0,0,1
43,"WVQTTR+Meiryo",307,1,0,0,0,0,0,0,0,1
42,"SDZBFW+BIZUDPGothic-Regular",301,0,0,0,0,2,0,0,0,1
41,"NZCNRY+BIZUDPGothic-Regular",295,0,0,0,0,2,0,0,0,1
40,"MVBUXL+BIZUDPGothic-Regular",289,0,0,0,0,2,0,0,1,1
39,"KFPIVX+BIZUDPGothic-Regular",283,0,0,0,0,5,0,0,1,1
38,"UCYHUZ+BIZUDPGothic-Regular",277,0,0,0,0,1,0,0,2,1
37,"KIVJXV+BIZUDPGothic-Regular",271,0,0,0,0,1,0,0,0,1
36,"YJWDDV+BIZUDPGothic-Regular",265,0,0,0,0,5,0,0,3,1
35,"UGQHGM+BIZUDPGothic-Regular",259,0,0,0,0,2,0,0,0,1
34,"DZRMFO+BIZUDPGothic-Regular",253,0,0,0,0,2,0,0,0,1
33,"KQYOIV+BIZUDPGothic-Regular",247,0,0,0,0,4,0,0,1,1
32,"YSROSL+BIZUDPGothic-Regular",241,0,0,0,0,1,0,0,0,1
31,"QXGEWL+BIZUDPGothic-Regular",235,0,0,0,0,1,1,0,0,1
30,"BJPYTL+BIZUDPGothic-Regular",229,0,0,0,0,1,0,0,0,1
29,"YZJCCD+BIZUDPGothic-Regular",223,0,0,0,0,2,0,0,1,1
28,"IHQAGB+BIZUDPGothic-Regular",217,0,0,0,0,7,0,0,0,1
27,"OLKVSE+BIZUDPGothic-Regular",211,0,0,0,0,1,0,0,0,1
26,"BAUGIT+BIZUDPGothic-Regular",205,0,0,0,0,5,0,0,1,1
25,"GJWNNW+BIZUDPGothic-Regular",199,0,0,0,0,3,1,0,1,1
24,"ZTDCGP+BIZUDPGothic-Regular",193,0,0,0,0,0,0,0,1,1
23,"XUFHOJ+BIZUDPGothic-Regular",187,0,0,0,0,5,0,0,0,1
22,"PRAWNM+BIZUDPGothic-Regular",181,0,0,0,0,1,0,0,3,2
21,"JJULWW+BIZUDPGothic-Regular",175,0,0,0,0,2,0,0,3,1
20,"JIAKXV+BIZUDPGothic-Regular",169,0,0,0,0,0,0,0,0,2
19,"TNDSVH+BIZUDPGothic-Regular",163,0,0,0,0,0,0,0,0,2
18,"EFSFUQ+BIZUDPGothic-Regular",157,0,0,0,0,2,0,0,1,2
17,"GHSZDN+BIZUDPGothic-Regular",151,0,0,0,0,3,0,0,0,3
16,"YCGRXD+BIZUDPGothic-Regular",145,0,0,0,0,5,0,0,1,1
15,"UYLPPO+BIZUDPGothic-Regular",139,0,0,0,0,2,1,0,2,1
14,"FDMWDJ+BIZUDPGothic-Regular",133,0,0,0,0,1,0,0,0,2
13,"GSILHZ+BIZUDPGothic-Regular",127,0,0,0,0,2,0,0,4,2
