フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
85,"SJKSFO+LINESeedJP-Regular",558,0,0,0,0,8,0,0,2,1
84,"NJIRCV+LINESeedJP-Regular",552,0,0,0,0,1,0,0,0,1
83,"HFVPEG+LINESeedJP-Regular",546,0,0,0,0,3,0,0,0,1
82,"VLHITN+LINESeedJP-Regular",540,0,0,0,0,1,0,0,0,1
81,"YBWWJX+LINESeedJP-Regular",534,0,0,0,0,3,0,0,0,1
80,"BGFKRZ+LINESeedJP-Regular",528,0,0,0,0,2,0,0,0,1
79,"BGBFPF+LINESeedJP-Regular",522,0,0,0,0,2,0,0,0,1
78,"VUXELJ+LINESeedJP-Regular",516,0,0,0,0,1,0,0,0,1
77,"XWAECY+LINESeedJP-Regular",510,0,0,0,0,1,0,0,0,1
76,"DRHMAZ+LINESeedJP-Regular",504,0,0,0,0,1,0,0,1,1
75,"ZZYGMK+LINESeedJP-Regular",498,0,0,0,0,1,0,0,0,1
74,"VRHJLE+LINESeedJP-Regular",492,0,0,0,0,0,0,0,1,2
73,"TRBYDG+LINESeedJP-Regular",486,0,0,0,0,3,0,0,0,1
72,"CVECID+LINESeedJP-Regular",480,0,0,0,0,1,0,0,1,1
71,"XMXRDP+LINESeedJP-Regular",474,0,0,0,0,1,0,0,0,1
70,"UODGSI+LINESeedJP-Regular",468,0,0,0,0,2,0,0,0,1
69,"RXHHOT+LINESeedJP-Regular",462,0,0,0,0,2,0,0,0,1
68,"YJOJZK+LINESeedJP-Regular",456,0,0,0,0,3,0,0,0,1
67,"UGMIKW+LINESeedJP-Regular",450,0,0,0,0,1,0,0,0,1
66,"OPBFSV+LINESeedJP-Regular",444,0,0,0,0,1,0,0,0,1
65,"SGHYFK+LINESeedJP-Regular",438,0,0,0,0,1,0,0,0,1
64,"LONSFH+LINESeedJP-Regular",432,0,0,0,0,4,0,0,0,1
63,"JDEUKL+LINESeedJP-Regular",426,0,0,0,0,2,0,0,0,1
62,"BSHTWB+LINESeedJP-Regular",420,0,0,0,0,2,0,0,0,1
61,"OMTBVW+LINESeedJP-Regular",414,0,0,0,0,1,0,0,0,1
60,"XZABEU+LINESeedJP-Regular",408,0,0,0,0,6,0,0,0,1
59,"ZOQWSF+LINESeedJP-Regular",402,0,0,0,0,1,0,0,1,1
58,"CKLFOL+LINESeedJP-Regular",396,0,0,0,0,2,0,0,0,1
57,"XUHARG+LINESeedJP-Regular",390,0,0,0,0,1,0,0,0,1
56,"NPJKYK+LINESeedJP-Regular",384,0,0,0,0,3,0,0,0,2
55,"ADTNHT+LINESeedJP-Regular",378,0,0,0,0,3,0,0,0,1
54,"XMXRDP+LINESeedJP-Regular",372,0,0,0,0,0,0,0,1,1
53,"RGUXHD+LINESeedJP-Regular",366,0,0,0,0,4,0,0,0,1
52,"OOIXOV+LINESeedJP-Regular",360,0,0,0,0,3,0,0,0,1
51,"VHMJMW+LINESeedJP-Regular",354,0,0,0,0,2,0,0,0,1
50,"MTKSGU+LINESeedJP-Regular",348,0,0,0,0,0,0,0,2,1
49,"DSBMAG+LINESeedJP-Regular",342,0,0,0,0,2,0,0,0,1
48,"XQYKMS+LINESeedJP-Regular",336,0,0,0,0,3,0,0,0,1
47,"BGTQZW+LINESeedJP-Regular",330,0,0,0,0,3,0,0,0,2
46,"RRAWZH+LINESeedJP-Regular",324,0,0,0,0,1,0,0,0,1
45,"XHMNPW+LINESeedJP-Regular",318,0,0,0,0,1,0,0,0,1
44,"USRDRW+LINESeedJP-Regular",312,0,0,0,0,1,0,0,0,1
43,"HCYHSD+Meiryo",306,5,0,0,0,0,0,0,0,1
42,"QFWTKP+LINESeedJP-Regular",300,0,0,0,0,2,0,0,0,1
