フォントID,フォント名,ToUnicodeID,🔴康煕部首,🔴部首補助,🔴CJK筆画,🔴互換漢字,🟢康煕部首相当統合漢字,🟢部首補助相当統合漢字,🟢筆画相当統合漢字,🟢互換漢字相当統合漢字,⚪その他一般文字
86,"UXGGST+MPLUS1p-Regular",565,0,0,0,0,8,0,0,2,1
85,"LIUWGL+MPLUS1p-Regular",559,0,0,0,0,1,0,0,0,1
84,"MAJGOL+MPLUS1p-Regular",553,0,0,0,0,3,0,0,0,1
83,"REJNEW+MPLUS1p-Regular",547,0,0,0,0,1,0,0,0,1
82,"CZPWMW+MPLUS1p-Regular",541,0,0,0,0,2,0,0,0,1
81,"NZGOXL+MPLUS1p-Regular",535,0,0,0,0,2,0,0,0,1
80,"AUHQFN+MPLUS1p-Regular",529,0,0,0,0,2,0,0,0,1
79,"KYFWBX+MPLUS1p-Regular",523,0,0,0,0,1,0,0,0,1
78,"MUQDMR+MPLUS1p-Regular",517,0,0,0,0,1,0,0,0,1
77,"CRDUBA+MPLUS1p-Regular",511,0,0,0,0,1,0,0,0,1
76,"SGGABW+MPLUS1p-Regular",505,0,0,0,0,1,0,0,1,1
75,"DCXWQN+MPLUS1p-Regular",499,0,0,0,0,1,0,0,0,1
74,"AEPCSH+MPLUS1p-Regular",493,0,0,0,0,0,0,0,1,2
73,"CWOLAM+MPLUS1p-Regular",487,0,0,0,0,3,0,0,0,1
72,"RWDWBQ+MPLUS1p-Regular",481,0,0,0,0,1,0,0,1,1
71,"DNAHAS+MPLUS1p-Regular",475,0,0,0,0,1,0,0,0,1
70,"GZEOLM+MPLUS1p-Regular",469,0,0,0,0,2,0,0,0,1
69,"CDDSSX+MPLUS1p-Regular",463,0,0,0,0,2,0,0,0,1
68,"KWJDGJ+MPLUS1p-Regular",457,0,0,0,0,3,0,0,0,1
67,"MLESLV+MPLUS1p-Regular",451,0,0,0,0,1,0,0,0,1
66,"WKCDWL+MPLUS1p-Regular",445,0,0,0,0,1,0,0,0,1
65,"YTAKFG+MPLUS1p-Regular",439,0,0,0,0,2,0,0,0,1
64,"QTAVMJ+MPLUS1p-Regular",433,0,0,0,0,4,0,0,0,1
63,"RTLEUY+MPLUS1p-Regular",427,0,0,0,0,3,0,0,0,1
62,"CZYIPZ+MPLUS1p-Regular",421,0,0,0,0,2,0,0,0,1
61,"BFJBRA+MPLUS1p-Regular",415,0,0,0,0,1,0,0,0,1
60,"IWEBRN+MPLUS1p-Regular",409,0,0,0,0,6,0,0,0,1
59,"HTMYYO+MPLUS1p-Regular",403,0,0,0,0,1,0,0,1,1
58,"UZAPSG+MPLUS1p-Regular",397,0,0,0,0,2,0,0,0,1
57,"MLESLV+MPLUS1p-Regular",391,0,0,0,0,1,0,0,0,1
56,"YGZERM+MPLUS1p-Regular",385,0,0,0,0,3,0,0,0,2
55,"YJWPHS+MPLUS1p-Regular",379,0,0,0,0,3,0,0,0,1
54,"USWGUP+MPLUS1p-Regular",373,0,0,0,0,0,0,0,1,1
53,"HGSIQS+MPLUS1p-Regular",367,0,0,0,0,4,0,0,0,1
52,"FOHEXD+MPLUS1p-Regular",361,0,0,0,0,3,0,0,0,1
51,"LDGBRN+MPLUS1p-Regular",355,0,0,0,0,2,0,0,0,1
50,"UCJHBX+MPLUS1p-Regular",349,0,0,0,0,0,0,0,2,1
49,"OKYMMH+MPLUS1p-Regular",343,0,0,0,0,2,0,0,0,1
48,"HBQZYT+MPLUS1p-Regular",337,0,0,0,0,3,0,0,0,1
47,"QMDGTY+MPLUS1p-Regular",331,0,0,0,0,3,0,0,0,2
46,"WKCDWL+MPLUS1p-Regular",325,0,0,0,0,1,0,0,0,1
45,"DCXWQN+MPLUS1p-Regular",319,0,0,0,0,1,0,0,0,1
44,"BTQHEU+MPLUS1p-Regular",313,0,0,0,0,1,0,0,0,1
43,"FIZKJD+Meiryo",307,3,0,0,0,0,0,0,0,1
42,"IGHXNL+MPLUS1p-Regular",301,0,0,0,0,2,0,0,0,1
41,"ATABST+MPLUS1p-Regular",295,0,0,0,0,2,0,0,0,1
40,"BBHRXI+MPLUS1p-Regular",289,0,0,0,0,2,0,0,1,1
39,"EIFZZB+MPLUS1p-Regular",283,0,0,0,0,5,0,0,1,1
38,"DSSQPI+MPLUS1p-Regular",277,0,0,0,0,1,0,0,2,1
37,"CHIQKA+MPLUS1p-Regular",271,0,0,0,0,1,0,0,0,1
36,"CFEHJX+MPLUS1p-Regular",265,0,0,0,0,5,0,0,3,1
35,"WWSFYI+MPLUS1p-Regular",259,0,0,0,0,2,0,0,0,1
34,"CDZRLJ+MPLUS1p-Regular",253,0,0,0,0,2,0,0,0,1
33,"BOYOAI+MPLUS1p-Regular",247,0,0,0,0,4,0,0,1,1
32,"ZZNIMV+MPLUS1p-Regular",241,0,0,0,0,1,0,0,0,1
31,"DKRKDZ+MPLUS1p-Regular",235,0,0,0,0,1,1,0,0,1
30,"EOPOBL+MPLUS1p-Regular",229,0,0,0,0,1,0,0,0,1
29,"FDRHZE+MPLUS1p-Regular",223,0,0,0,0,2,0,0,1,1
28,"YDAAYT+MPLUS1p-Regular",217,0,0,0,0,7,0,0,0,1
27,"ONCEFL+MPLUS1p-Regular",211,0,0,0,0,1,0,0,0,1
26,"TYNFGY+MPLUS1p-Regular",205,0,0,0,0,5,0,0,1,1
